"","id","message_time","volts","d/m/y","hdop","latitude","longitude","siv","h/m/s/cs"
"1","eui-70b3d57ed0044770","2022-05-14T19:58:23.646625115Z","3.8172","140522","1.1",47.7724533,9.0453062,"6","195821"
"2","eui-70b3d57ed0044a4b","2022-05-14T19:35:06.255907616Z","3.9149","140522","0.8",47.752449,9.0444412,"10","193504"
"3","eui-70b3d57ed0044a35","2022-05-14T19:16:32.465069765Z","3.6412","140522","1.7",47.7681579,8.9964637,"5","191630.29"
"4","eui-70b3d57ed0044a4a","2022-05-14T19:13:44.204528951Z","3.9882","140522","1.4",47.7534637,9.0630769,"5","191342"
"5","eui-70b3d57ed0044a4e","2022-05-14T19:12:20.745809028Z","3.7683","140522","1",47.7567901,9.0416584,"7","191218.17"
"6","eui-70b3d57ed0044a49","2022-05-14T18:54:04.298532119Z","3.9393","140522","0.9",47.7684364,8.9994916,"8","185401.12"
"7","eui-70b3d57ed0044770","2022-05-14T17:58:02.246508583Z","3.8074","140522","1.1",47.7724723,9.0456619,"6","175759.47"
"8","eui-70b3d57ed0044a4b","2022-05-14T17:34:40.489243109Z","4.0029","140522","1",47.7525062,9.0444116,"8","173438.29"
"9","eui-70b3d57ed0044a4a","2022-05-14T17:13:28.012057717Z","4.042","140522","0.9",47.7534217,9.0631418,"8","171325.61"
"10","eui-70b3d57ed0044a43","2022-05-14T17:12:59.433973852Z","4.0909","140522","1",47.7061614,8.9633512,"6","171257.26"
"11","eui-70b3d57ed0044770","2022-05-14T15:57:25.043393259Z","3.822","140522","1.1",47.7724723,9.0456619,"6","155722.45"
"12","eui-70b3d57ed0044a4b","2022-05-14T15:34:35.370016306Z","4.0127","140522","0.8",47.7524452,9.0444231,"10","153433"
"13","eui-70b3d57ed0044a4a","2022-05-14T15:12:51.387503026Z","4.0713","140522","1.4",47.7537689,9.0630083,"5","151248.58"
"14","eui-70b3d57ed0044a4e","2022-05-14T15:11:43.844515643Z","3.8367","140522","0.8",47.7567443,9.0416135,"6","151141.25"
"15","eui-70b3d57ed0044a49","2022-05-14T14:53:38.236340768Z","3.9247","140522","1.3",47.7707557,8.9974346,"5","145336"
"16","eui-70b3d57ed0044770","2022-05-14T13:57:19.250776961Z","3.822","140522","1.1",47.7724723,9.0456619,"6","135717.48"
"17","eui-70b3d57ed0044a4b","2022-05-14T13:34:09.604017346Z","4.0224","140522","0.9",47.7524375,9.0444612,"6","133407.4"
"18","eui-70b3d57ed0044a4a","2022-05-14T13:12:30.725499677Z","4.0811","140522","0.9",47.7534255,9.0631446,"5","131228.27"
"19","eui-70b3d57ed0044770","2022-05-14T11:57:08.038075596Z","3.822","140522","1.1",47.7724723,9.0456619,"7","115705.39"
"20","eui-70b3d57ed0044a4b","2022-05-14T11:34:04.619361027Z","3.9687","140522","0.9",47.7524337,9.0444602,"8","113401.23"
"21","eui-70b3d57ed0044a4a","2022-05-14T11:12:25.155747768Z","3.9833","140522","0.9",47.7534255,9.0631446,"8","111223"
"22","eui-70b3d57ed0044a49","2022-05-14T10:51:33.725758433Z","3.9442","140522","1.5",47.7684516,8.999463,"5","105132"
"23","eui-70b3d57ed0044770","2022-05-14T09:57:02.834148908Z","3.822","140522","1.1",47.7724723,9.0456619,"7","95700.46"
"24","eui-70b3d57ed0044a4a","2022-05-14T09:11:42.958280110Z","3.9833","140522","1.8",47.7533798,9.0632266,"6","91140.38"
"25","eui-70b3d57ed0044a43","2022-05-14T09:11:29.679842325Z","4.0762","140522","1.4",47.7062454,8.9632434,"6","91128"
"26","eui-70b3d57ed0044770","2022-05-14T07:56:36.618639475Z","3.8074","140522","0.9",47.7722473,9.0459585,"8","75634"
"27","eui-70b3d57ed0044a4b","2022-05-14T07:33:33.717222666Z","3.9393","140522","0.9",47.7524299,9.0444498,"9","73331.33"
"28","eui-70b3d57ed0044a4e","2022-05-14T07:11:02.686859373Z","3.8172","140522","0.9",47.7566947,9.0416069,"7","71100.51"
"29","eui-70b3d57ed0044a49","2022-05-14T06:51:02.843503863Z","3.9442","140522","1.3",47.7684669,8.9995136,"6","65100.46"
"30","eui-70b3d57ed0044770","2022-05-14T05:55:23.031294881Z","3.8172","140522","1.1",47.772377,9.0457353,"6","55520.46"
"31","eui-70b3d57ed0044a43","2022-05-14T05:10:16.476244402Z","4.0518","140522","1",47.7061614,8.9633131,"6","51014.09"
"32","eui-70b3d57ed0044770","2022-05-14T03:54:25.435562143Z","3.8269","140522","1.1",47.772377,9.0457353,"6","35423"
"33","eui-70b3d57ed0044a4b","2022-05-14T03:33:02.578303995Z","3.8367","140522","0.7",47.7524223,9.0444469,"11","33300.39"
"34","eui-70b3d57ed0044a4a","2022-05-14T03:11:06.551454358Z","3.866","140522","1",47.7534103,9.0631484,"8","31104"
"35","eui-70b3d57ed0044a49","2022-05-14T02:50:31.771927921Z","3.9393","140522","1.2",47.7684555,8.9995117,"6","25029.59"
"36","eui-70b3d57ed0044770","2022-05-14T01:54:09.064889084Z","3.8269","140522","1.4",47.7723999,9.0452213,"6","15406.5"
"37","eui-70b3d57ed0044a43","2022-05-14T01:10:05.668920769Z","4.0127","140522","1",47.7061538,8.9633045,"9","11003"
"38","eui-70b3d57ed0044770","2022-05-13T23:54:03.036821519Z","3.8269","130522","1",47.7723999,9.0451745,"9","235401"
"39","eui-70b3d57ed0044a4b","2022-05-13T23:32:36.011669960Z","3.8416","130522","0.8",47.7524909,9.0443935,"10","233234"
