"","id","message_time","volts","d/m/y","hdop","latitude","longitude","siv","h/m/s/cs"
"1","eui-70b3d57ed0044770","2022-03-15T21:08:15.185779458Z","4.042","150322","1.3",47.7732238,9.0459518,"6","210813.01"
"2","eui-70b3d57ed0044a53","2022-03-15T21:06:05.287166710Z","4.1006","150322","1.2",47.7648239,8.9957551,"7","210602.98"
"3","eui-70b3d57ed0044a49","2022-03-15T20:56:21.776596942Z","3.998","150322","0.8",47.7683563,8.9999284,"10","205619.19"
"4","eui-70b3d57ed0044a4b","2022-03-15T20:31:03.239121836Z","3.7341","150322","0.9",47.7681465,8.9964904,"9","203101.04"
"5","eui-70b3d57ed0044a4e","2022-03-15T20:22:51.441988852Z","3.6754","150322","1.2",47.7681007,8.9963579,"5","202249.09"
"6","eui-70b3d57ed0044a54","2022-03-15T19:40:04.782838160Z","3.8611","150322","0.8",47.7727737,9.047183,"8","194003"
"7","eui-70b3d57ed0044a36","2022-03-15T19:09:02.760212363Z","3.91","150322","0.9",47.7678184,8.9968185,"7","190900.95"
"8","eui-70b3d57ed0044770","2022-03-15T19:07:54.035440016Z","4.0566","150322","1.3",47.7732238,9.0459518,"6","190752.06"
"9","eui-70b3d57ed0044a53","2022-03-15T19:05:23.717133460Z","4.1055","150322","1.2",47.7648239,8.9957551,"6","190521"
"10","eui-70b3d57ed0044a49","2022-03-15T18:55:45.266445113Z","4.0029","150322","1",47.7682952,8.9998283,"6","185543.27"
"11","eui-70b3d57ed0044770","2022-03-15T17:07:37.883565074Z","4.0664","150322","1.3",47.7732238,9.0459518,"7","170735.07"
"12","eui-70b3d57ed0044a53","2022-03-15T17:04:57.135058872Z","4.1153","150322","1.2",47.7648239,8.9957551,"6","170454.53"
"13","eui-70b3d57ed0044a49","2022-03-15T16:55:24.345234142Z","4.0029","150322","1",47.7682952,8.9998283,"5","165522.36"
"14","eui-70b3d57ed0044a4b","2022-03-15T16:30:37.456778654Z","3.7927","150322","0.9",47.7681961,8.9965181,"8","163035"
"15","eui-70b3d57ed0044a54","2022-03-15T15:39:33.905609439Z","3.8758","150322","0.9",47.7721023,9.0438117,"8","153931.51"
"16","eui-70b3d57ed0044a36","2022-03-15T15:07:54.840891503Z","3.9393","150322","1.3",47.7680168,8.9963502,"5","150752.41"
"17","eui-70b3d57ed0044770","2022-03-15T15:07:27.331633076Z","4.0615","150322","1.3",47.7732238,9.0459518,"6","150724.16"
"18","eui-70b3d57ed0044a53","2022-03-15T15:04:20.528844110Z","4.1202","150322","1.3",47.7645835,8.9957437,"5","150418.55"
"19","eui-70b3d57ed0044a49","2022-03-15T14:55:03.018611807Z","4.0224","150322","1",47.7682952,8.9998283,"6","145500.44"
"20","eui-70b3d57ed0044770","2022-03-15T13:07:05.778965509Z","4.0713","150322","1.3",47.7732238,9.0459518,"6","130703.18"
"21","eui-70b3d57ed0044a53","2022-03-15T13:03:59.946877520Z","4.1593","150322","1.3",47.7645835,8.9957437,"5","130357.57"
"22","eui-70b3d57ed0044a49","2022-03-15T12:54:52.298042449Z","4.0175","150322","1",47.7682952,8.9998283,"5","125450.52"
"23","eui-70b3d57ed0044a43","2022-03-15T12:49:28.589134161Z","3.9736","150322","1.1",47.6669273,8.9184513,"8","124925.98"
"24","eui-70b3d57ed0044a4b","2022-03-15T12:30:06.440844958Z","3.7976","150322","1.1",47.7681388,8.9964447,"8","123004"
"25","eui-70b3d57ed0044a54","2022-03-15T11:39:03.045988439Z","3.8807","150322","0.9",47.7722587,9.0441112,"8","113900.84"
"26","eui-70b3d57ed0044a36","2022-03-15T11:07:38.933120083Z","3.9149","150322","1.2",47.7677345,8.9965162,"6","110737"
"27","eui-70b3d57ed0044770","2022-03-15T11:07:00.238327069Z","4.0664","150322","1.3",47.7732238,9.0459518,"6","110658.27"
"28","eui-70b3d57ed0044a53","2022-03-15T11:03:54.970732883Z","4.1397","150322","1.3",47.7645835,8.9957437,"6","110352.6"
"29","eui-70b3d57ed0044a49","2022-03-15T10:54:36.982842523Z","4.0078","150322","1",47.7682952,8.9998283,"5","105435"
"30","eui-70b3d57ed0044a43","2022-03-15T10:48:51.767752056Z","4.0175","150322","1.2",47.7695693,9.0715131,"5","104849.31"
"31","eui-70b3d57ed0044770","2022-03-15T09:06:43.892775808Z","4.0713","150322","1.3",47.7732238,9.0459518,"6","90641.26"
"32","eui-70b3d57ed0044a53","2022-03-15T09:03:49.595013135Z","4.1006","150322","1.3",47.7645835,8.9957437,"5","90347"
"33","eui-70b3d57ed0044a49","2022-03-15T08:54:06.058059402Z","4.0371","150322","1.6",47.7688789,8.9999599,"7","85403.69"
"34","eui-70b3d57ed0044a43","2022-03-15T08:48:36.299868404Z","3.954","150322","1.2",47.7695693,9.0715131,"7","84834"
"35","eui-70b3d57ed0044a4b","2022-03-15T08:29:35.446907160Z","3.7585","150322","1",47.7680816,8.9964466,"8","82933"
"36","eui-70b3d57ed0044a54","2022-03-15T07:38:31.972511913Z","3.8807","150322","1.3",47.772747,9.0471029,"5","73829.78"
"37","eui-70b3d57ed0044a36","2022-03-15T07:06:56.835099479Z","3.9051","150322","1.5",47.7688293,8.9960098,"5","70655"
"38","eui-70b3d57ed0044770","2022-03-15T07:06:37.941554771Z","4.0762","150322","1.3",47.7732238,9.0459518,"7","70635.33"
"39","eui-70b3d57ed0044a53","2022-03-15T07:03:28.196268530Z","4.0957","150322","5.4",47.7648468,8.9956378,"5","70325.62"
"40","eui-70b3d57ed0044a49","2022-03-15T06:54:01.135127290Z","4.0322","150322","1.6",47.7688789,8.9999599,"6","65358.62"
"41","eui-70b3d57ed0044770","2022-03-15T05:06:31.971287286Z","4.0664","150322","1.3",47.7732238,9.0459518,"6","50630"
"42","eui-70b3d57ed0044a53","2022-03-15T05:03:17.998061933Z","4.1153","150322","5.4",47.7648468,8.9956378,"7","50315.61"
"43","eui-70b3d57ed0044a49","2022-03-15T04:53:55.824206749Z","4.0127","150322","1.6",47.7688789,8.9999599,"6","45353.81"
"44","eui-70b3d57ed0044a43","2022-03-15T04:48:05.187993043Z","3.9296","150322","1.3",47.7696571,9.0716304,"7","44803"
"45","eui-70b3d57ed0044a4b","2022-03-15T04:29:04.390847123Z","3.7536","150322","1.6",47.7681388,8.9964418,"7","42902"
"46","eui-70b3d57ed0044a54","2022-03-15T03:38:05.711691375Z","3.8709","150322","1.3",47.772747,9.0471029,"6","33804"
"47","eui-70b3d57ed0044770","2022-03-15T03:06:00.422433018Z","4.0664","150322","1",47.7733383,9.0458784,"7","30558"
"48","eui-70b3d57ed0044a36","2022-03-15T03:05:54.518804274Z","3.9393","150322","9.4",47.7676467,8.9967632,"5","30552.32"
"49","eui-70b3d57ed0044a53","2022-03-15T03:02:46.617212691Z","4.1055","150322","5.4",47.7648468,8.9956378,"5","30244.63"
"50","eui-70b3d57ed0044a49","2022-03-15T02:53:34.507890235Z","4.0273","150322","1.6",47.7688789,8.9999599,"5","25331.83"
"51","eui-70b3d57ed0044770","2022-03-15T01:05:18.097125476Z","4.086","150322","0.9",47.7733306,9.0458402,"6","10515.5"
"52","eui-70b3d57ed0044a53","2022-03-15T01:02:25.439306706Z","4.1006","150322","5.4",47.7648468,8.9956378,"6","10223.16"
"53","eui-70b3d57ed0044a49","2022-03-15T00:53:23.566983267Z","4.0322","150322","1.6",47.7688789,8.9999599,"6","5320.88"
"54","eui-70b3d57ed0044a43","2022-03-15T00:47:33.218776039Z","3.9491","150322","1.2",47.7696495,9.07164,"7","4730.62"
"55","eui-70b3d57ed0044a4b","2022-03-15T00:28:32.528691440Z","3.7438","150322","1.2",47.7681045,8.9964303,"7","2830.13"
"56","eui-70b3d57ed0044a54","2022-03-14T23:37:24.054428195Z","3.8807","140322","9.4",47.772293,9.0443181,"5","233722.05"
"57","eui-70b3d57ed0044770","2022-03-14T23:05:12.140178237Z","4.0909","140322","0.9",47.7733306,9.0458402,"7","230509.5"
"58","eui-70b3d57ed0044a36","2022-03-14T23:05:02.615375009Z","3.9393","140322","1.7",47.7676467,8.9967632,"5","230500.42"
"59","eui-70b3d57ed0044a53","2022-03-14T23:01:44.063863141Z","4.1251","140322","1.4",47.7648468,8.9956378,"9","230142.18"
"60","eui-70b3d57ed0044a49","2022-03-14T22:53:12.847651513Z","4.0322","140322","1.6",47.7688789,8.9999599,"5","225311.07"
"61","eui-70b3d57ed0044a43","2022-03-14T22:46:56.959431375Z","4.0127","140322","2.2",47.7705268,9.0711946,"5","224654.74"
