"","id","message_time","volts","d/m/y","hdop","latitude","longitude","siv","h/m/s/cs"
"1","eui-70b3d57ed0044770","2021-12-24T17:44:22.061688920Z","4.0175","241221","1.3",47.7679862,8.9965162,"6","174419.29"
"2","eui-70b3d57ed0044a53","2021-12-24T17:42:52.086407618Z","3.8367","241221","1.1",47.7649612,8.9961051,"7","174249.42"
"3","eui-70b3d57ed0044a43","2021-12-24T17:08:32.612331648Z","3.9442","241221","1.2",47.7682189,8.9966335,"6","170830.62"
"4","eui-70b3d57ed0044a49","2021-12-24T17:02:58.838105181Z","3.7634","241221","1.1",47.7646102,8.9957866,"5","170257.05"
"5","eui-70b3d57ed0044a36","2021-12-24T16:44:41.986577105Z","3.7096","241221","1.6",47.7676849,8.9960031,"5","164440"
"6","eui-70b3d57ed0044770","2021-12-24T15:43:44.994994431Z","4.0224","241221","1.1",47.7680854,8.996375,"6","154343.2"
"7","eui-70b3d57ed0044a46","2021-12-24T15:42:34.447411795Z","3.8954","241221","0.8",47.7659683,8.9947595,"9","154231.87"
"8","eui-70b3d57ed0044a43","2021-12-24T15:08:11.902961351Z","4.0175","241221","1.1",47.7680892,8.9964561,"6","150809.5"
"9","eui-70b3d57ed0044770","2021-12-24T13:43:33.684555872Z","4.0469","241221","1.1",47.7680854,8.996375,"7","134331.08"
"10","eui-70b3d57ed0044a53","2021-12-24T13:42:15.248286054Z","3.8465","241221","1.2",47.7649383,8.9959812,"5","134213.44"
"11","eui-70b3d57ed0044a43","2021-12-24T13:08:06.577553275Z","3.9784","241221","0.8",47.7681808,8.9964904,"9","130804"
"12","eui-70b3d57ed0044a49","2021-12-24T13:02:43.576187364Z","3.7878","241221","1.1",47.7646102,8.9957866,"7","130241.14"
"13","eui-70b3d57ed0044a36","2021-12-24T12:44:05.773126740Z","3.7194","241221","1.6",47.7676849,8.9960031,"5","124404"
"14","eui-70b3d57ed0044770","2021-12-24T11:43:28.731536043Z","3.998","241221","1.1",47.7680854,8.996375,"7","114326.02"
"15","eui-70b3d57ed0044a46","2021-12-24T11:41:57.233687130Z","3.9149","241221","1",47.7658233,8.9946804,"8","114154.64"
"16","eui-70b3d57ed0044770","2021-12-24T09:42:50.521559441Z","4.0078","241221","1.3",47.7680702,8.9964599,"7","94247.89"
"17","eui-70b3d57ed0044a53","2021-12-24T09:41:59.085113680Z","3.8172","241221","1.2",47.7649383,8.9959812,"6","94156.46"
"18","eui-70b3d57ed0044a43","2021-12-24T09:07:40.381045429Z","3.9198","241221","1.2",47.7686767,8.9966096,"5","90738.15"
"19","eui-70b3d57ed0044a49","2021-12-24T09:02:38.310764900Z","3.7536","241221","1.1",47.7646102,8.9957866,"8","90236"
"20","eui-70b3d57ed0044a36","2021-12-24T08:43:34.808620386Z","3.6901","241221","0.9",47.7677688,8.9967079,"8","84333"
"21","eui-70b3d57ed0044770","2021-12-24T07:42:44.824406440Z","3.9687","241221","1.3",47.7680702,8.9964599,"6","74242.85"
"22","eui-70b3d57ed0044a46","2021-12-24T07:41:19.995649648Z","3.8905","241221","0.9",47.7658767,8.9946517,"5","74117.34"
"23","eui-70b3d57ed0044a54","2021-12-24T07:23:19.242498717Z","3.5679","999","23.1",9.99e-05,9.99e-05,"231","9.99"
"24","eui-70b3d57ed0044770","2021-12-24T05:42:28.714414403Z","3.9442","241221","1.3",47.7680702,8.9964599,"6","54226.73"
"25","eui-70b3d57ed0044a53","2021-12-24T05:41:22.055930414Z","3.8367","241221","1.2",47.7649383,8.9959812,"7","54119.47"
"26","eui-70b3d57ed0044a43","2021-12-24T05:07:13.461657808Z","3.8758","241221","1",47.7681655,8.9964513,"6","50711.17"
"27","eui-70b3d57ed0044a49","2021-12-24T05:00:33.595218547Z","3.7634","241221","1",47.7633857,8.9970016,"8","50031.4"
"28","eui-70b3d57ed0044a36","2021-12-24T04:43:03.666410512Z","3.7145","241221","1.6",47.768013,8.9959983,"6","44301.46"
"29","eui-70b3d57ed0044770","2021-12-24T03:42:12.170604619Z","3.9589","241221","1.3",47.7680702,8.9964599,"6","34209.56"
"30","eui-70b3d57ed0044a46","2021-12-24T03:41:09.088298165Z","3.8563","241221","0.9",47.7658767,8.9946517,"6","34107.1"
"31","eui-70b3d57ed0044770","2021-12-24T01:42:06.022213429Z","3.9393","241221","1.3",47.7680702,8.9964599,"6","14204"
"32","eui-70b3d57ed0044a53","2021-12-24T01:40:45.487498668Z","3.8269","241221","1.1",47.7649955,8.9960584,"5","14043.49"
"33","eui-70b3d57ed0044a43","2021-12-24T01:07:02.934533069Z","3.8758","241221","1",47.7681655,8.9964513,"7","10700.73"
"34","eui-70b3d57ed0044a49","2021-12-24T01:00:07.356134507Z","3.7732","241221","1",47.763359,8.9969482,"7","10005"
"35","eui-70b3d57ed0044a36","2021-12-24T00:42:37.111548231Z","3.6999","241221","1.3",47.7680702,8.9957771,"5","4235"
"36","eui-70b3d57ed0044770","2021-12-23T23:41:34.096330148Z","3.9393","231221","1.1",47.7681159,8.9963903,"6","234132.32"
"37","eui-70b3d57ed0044a46","2021-12-23T23:40:47.391445626Z","3.866","231221","0.9",47.7658767,8.9946517,"5","234044.8"
"38","eui-70b3d57ed0044a4c","2021-12-23T23:40:25.499790685Z","3.5777","999","23.1",9.99e-05,9.99e-05,"231","9.99"
"39","eui-70b3d57ed0044a4e","2021-12-23T23:21:02.689434620Z","3.4066","999","23.1",9.99e-05,9.99e-05,"231","9.99"
"40","eui-70b3d57ed0044770","2021-12-23T21:41:22.972708670Z","3.9589","231221","1",47.7681007,8.9964265,"8","214121"
"41","eui-70b3d57ed0044a53","2021-12-23T21:40:24.485175223Z","3.822","231221","1.1",47.7649955,8.9960584,"5","214022.5"
"42","eui-70b3d57ed0044a43","2021-12-23T21:06:31.613854149Z","3.91","231221","1.3",47.7677803,8.9957418,"5","210628.2"
"43","eui-70b3d57ed0044a49","2021-12-23T20:59:25.820333150Z","3.7732","231221","0.9",47.7633323,8.9969434,"5","205923"
"44","eui-70b3d57ed0044a36","2021-12-23T20:42:00.154930933Z","3.7341","231221","1.5",47.7680397,8.9956617,"5","204157.76"
"45","eui-70b3d57ed0044770","2021-12-23T19:40:45.876078504Z","4.0029","231221","1.1",47.7680358,8.9964551,"7","194044.07"
"46","eui-70b3d57ed0044a46","2021-12-23T19:40:36.680188343Z","3.8709","231221","0.9",47.7658729,8.994668,"8","194034"
