"","id","message_time","volts","d/m/y","hdop","latitude","longitude","siv","h/m/s/cs"
"1","eui-70b3d57ed0044a4e","2022-10-06T20:17:06.016710466Z","3.6656","61022","1",47.7680931,8.9964437,"8","201704"
"2","eui-70b3d57ed0044a4a","2022-10-06T17:47:56.136349346Z","3.9442","61022","8.4",47.7680702,8.996458,"5","174753.54"
"3","eui-70b3d57ed0044a4a","2022-10-06T15:47:19.325249745Z","4.0371","61022","1.7",47.7680702,8.996458,"5","154717"
"4","eui-70b3d57ed0044a4a","2022-10-06T13:47:03.731629134Z","4.0078","61022","1",47.7681274,8.9964504,"8","134701.54"
"5","eui-70b3d57ed0044a4a","2022-10-06T11:46:37.536292781Z","4.0469","61022","2.7",47.7674674,8.9969034,"5","114635"
"6","eui-70b3d57ed0044a4a","2022-10-06T09:46:16.116564184Z","4.0469","61022","1.3",47.7677459,8.9963731,"5","94613.53"
"7","eui-70b3d57ed0044a4a","2022-10-06T05:46:05.908974935Z","3.8025","61022","0.8",47.7679862,8.9964771,"9","54604"
"8","eui-70b3d57ed0044a4b","2022-10-06T05:21:34.953596165Z","3.6608","61022","1",47.7679977,8.9964332,"8","52133"
"9","eui-70b3d57ed0044a42","2022-10-06T03:22:26.449925494Z","3.6119","61022","1.1",47.7678413,8.9966897,"7","32224.28"
"10","eui-70b3d57ed0044a4a","2022-10-06T01:45:34.012487516Z","3.8172","61022","0.8",47.7681388,8.9965686,"9","14531.43"
"11","eui-70b3d57ed0044a4b","2022-10-06T01:21:03.922514971Z","3.6999","61022","1",47.7679977,8.9965648,"7","12101.09"
"12","eui-70b3d57ed0044a4a","2022-10-05T21:44:56.946603343Z","3.8416","51022","0.8",47.7680892,8.9964447,"9","214454.35"
