"","id","message_time","volts","d/m/y","hdop","latitude","longitude","siv","h/m/s/cs"
"1","eui-70b3d57ed0044a49","2022-01-13T17:57:34.598107396Z","3.7341","130122","1.2",47.7634391,8.9968929,"7","175731.21"
"2","eui-70b3d57ed0044a36","2022-01-13T17:13:35.978665966Z","3.7438","130122","1.1",47.7680206,8.9958553,"6","171334"
"3","eui-70b3d57ed0044770","2022-01-13T17:01:33.080127331Z","3.9149","130122","1.7",47.7681808,8.9964218,"6","170131"
"4","eui-70b3d57ed0044a53","2022-01-13T16:46:56.098115646Z","3.9491","130122","2.2",47.7648582,8.9954271,"5","164654"
"5","eui-70b3d57ed0044a43","2022-01-13T16:16:33.279641592Z","3.8905","130122","1.1",47.7681732,8.9965114,"7","161631.27"
"6","eui-70b3d57ed0044770","2022-01-13T15:01:06.146752467Z","4.0322","130122","0.9",47.768135,8.9965248,"8","150104"
"7","eui-70b3d57ed0044a53","2022-01-13T14:46:24.493162420Z","3.9589","130122","1.1",47.7647285,8.9959621,"7","144622"
"8","eui-70b3d57ed0044a43","2022-01-13T14:16:07.316930784Z","4.0273","130122","1.5",47.7681617,8.9963264,"6","141604.92"
"9","eui-70b3d57ed0044a49","2022-01-13T13:57:03.704010779Z","3.7683","130122","1.9",47.7646255,8.996253,"5","135701.32"
"10","eui-70b3d57ed0044a36","2022-01-13T13:12:48.639711431Z","3.7487","130122","1.2",47.7671051,8.9981536,"6","131246"
"11","eui-70b3d57ed0044770","2022-01-13T13:00:34.082870447Z","4.0615","130122","1",47.7681198,8.9964084,"6","130031.49"
"12","eui-70b3d57ed0044a43","2022-01-13T12:16:01.644247835Z","4.0029","130122","1",47.7680816,8.9965152,"8","121559"
"13","eui-70b3d57ed0044770","2022-01-13T11:00:28.415521796Z","4.0371","130122","1",47.7681198,8.9964084,"6","110026.45"
"14","eui-70b3d57ed0044a53","2022-01-13T10:45:42.709577539Z","3.9491","130122","1",47.765068,8.9956617,"5","104540.09"
"15","eui-70b3d57ed0044a49","2022-01-13T09:56:32.613915864Z","3.7194","130122","1.1",47.7644958,8.9960899,"7","95630.43"
"16","eui-70b3d57ed0044a36","2022-01-13T09:12:12.503078993Z","3.7487","130122","1.4",47.7689971,8.9960031,"6","91210.35"
"17","eui-70b3d57ed0044a54","2022-01-13T09:11:56.024053482Z","3.5679","999","23.1",9.99e-05,9.99e-05,"231","9.99"
"18","eui-70b3d57ed0044770","2022-01-13T09:00:11.948814783Z","4.0127","130122","1",47.7681198,8.9964084,"8","90009.31"
"19","eui-70b3d57ed0044a43","2022-01-13T08:15:19.597862584Z","3.8611","130122","1.2",47.7685813,8.9965333,"5","81517"
"20","eui-70b3d57ed0044770","2022-01-13T07:00:06.164543463Z","3.7634","130122","1",47.7681198,8.9964084,"7","70004"
"21","eui-70b3d57ed0044a49","2022-01-13T05:56:06.096487165Z","3.695","130122","1.3",47.7630996,8.9974117,"6","55604"
"22","eui-70b3d57ed0044a36","2022-01-13T05:12:06.749799197Z","3.7194","130122","1.3",47.7681999,8.996087,"7","51205"
"23","eui-70b3d57ed0044770","2022-01-13T04:59:23.520129479Z","3.822","130122","1.2",47.7683181,8.996458,"8","45920.93"
"24","eui-70b3d57ed0044a43","2022-01-13T04:14:58.073851648Z","3.7585","130122","2.2",47.7682571,8.9965047,"5","41456"
"25","eui-70b3d57ed0044770","2022-01-13T02:59:17.891503462Z","3.8611","130122","1.2",47.7683181,8.996458,"6","25915.72"
"26","eui-70b3d57ed0044a53","2022-01-13T02:44:44.650938781Z","3.8954","130122","0.8",47.7648353,8.9960699,"6","24442.67"
"27","eui-70b3d57ed0044a36","2022-01-13T01:11:29.812274364Z","3.7096","130122","1.7",47.7680931,8.9955968,"5","11127.21"
"28","eui-70b3d57ed0044770","2022-01-13T00:58:56.465416773Z","3.8807","130122","1.2",47.7683181,8.996458,"6","5854"
"29","eui-70b3d57ed0044a46","2022-01-13T00:52:12.435260893Z","3.5777","999","23.1",9.99e-05,9.99e-05,"231","9.99"
"30","eui-70b3d57ed0044a43","2022-01-13T00:14:36.954420074Z","3.7829","130122","1.2",47.7681274,8.9964981,"7","1435"
"31","eui-70b3d57ed0044770","2022-01-12T22:58:39.865573244Z","3.8905","120122","1.2",47.767971,8.9967918,"6","225837.27"
"32","eui-70b3d57ed0044a53","2022-01-12T22:44:23.837499729Z","3.9149","120122","0.8",47.7648353,8.9960699,"6","224421.65"
"33","eui-70b3d57ed0044a36","2022-01-12T21:10:53.495709095Z","3.7194","120122","1.7",47.7680931,8.9955968,"5","211051"
"34","eui-70b3d57ed0044770","2022-01-12T20:58:34.451870474Z","3.8807","120122","1.2",47.7681579,8.996478,"7","205832"
"35","eui-70b3d57ed0044a43","2022-01-12T20:14:05.486228424Z","3.8318","120122","1.1",47.7680892,8.9965085,"7","201403"
