,id,message_time,volts,d/m/y,hdop,latitude,longitude,siv,h/m/s/cs
1,eui-70b3d57ed0044a53,2021-12-12T21:05:06.092629959Z,3.822,121221,1.1,47.7649002,8.9957447,6,210504
2,eui-70b3d57ed0044770,2021-12-12T21:00:06.588096900Z,3.9736,121221,0.9,47.7681083,8.9965486,8,210003.15
3,eui-70b3d57ed0044a43,2021-12-12T20:31:34.226263165Z,3.9345,121221,1,47.7681083,8.9964485,8,203132.03
4,eui-70b3d57ed0044a49,2021-12-12T20:25:42.179203421Z,3.8025,121221,1,47.7647972,9.0000228,5,202539.63
5,eui-70b3d57ed0044770,2021-12-12T18:59:40.016723088Z,3.9931,121221,1.4,47.7683181,8.9965381,6,185938
6,eui-70b3d57ed0044a53,2021-12-12T17:04:34.686699007Z,3.8367,121221,1.4,47.7648849,8.9959869,6,170433
7,eui-70b3d57ed0044770,2021-12-12T16:59:23.686312252Z,3.9931,121221,1.1,47.768135,8.9965696,7,165921
8,eui-70b3d57ed0044a43,2021-12-12T16:31:07.628929589Z,3.9198,121221,1.3,47.7680816,8.9965152,6,163105
9,eui-70b3d57ed0044a31,2021-12-12T16:27:34.866619757Z,3.911,121221,1.2,47.82625,9.04916,6,162724
10,eui-70b3d57ed0044a49,2021-12-12T16:25:31.842183964Z,3.7829,121221,1,47.7647972,9.0000228,5,162529.66
11,eui-70b3d57ed0044770,2021-12-12T14:58:46.579403051Z,4.0371,121221,1.1,47.7681541,8.9966297,6,145843.81
12,eui-70b3d57ed0044a43,2021-12-12T14:30:25.634527656Z,3.9589,121221,1.2,47.7681579,8.9966535,5,143022.6
13,eui-70b3d57ed0044a53,2021-12-12T13:03:47.330315395Z,3.8758,121221,0.9,47.7648162,8.9960165,6,130344.68
14,eui-70b3d57ed0044770,2021-12-12T12:58:36.106850627Z,4.0273,121221,1.1,47.7680511,8.9965553,8,125834
15,eui-70b3d57ed0044a43,2021-12-12T12:30:04.089775623Z,3.9931,121221,1.1,47.7680549,8.9964132,7,123001.49
16,eui-70b3d57ed0044a31,2021-12-12T12:28:21.543279757Z,3.92,121221,0.8,47.82635,9.04839,8,122821
17,eui-70b3d57ed0044a49,2021-12-12T12:25:05.430187979Z,3.8074,121221,1,47.7647972,9.0000228,8,122503
18,eui-70b3d57ed0044770,2021-12-12T10:58:09.436781549Z,4.0469,121221,0.9,47.7682228,8.9965887,6,105806.63
19,eui-70b3d57ed0044a3a,2021-12-12T10:45:28.098723475Z,3.601,121221,1.1,4.77E+01,9.01E+00,5,104528
19,eui-70b3d57ed0044a43,2021-12-12T10:29:27.800967851Z,4.0175,121221,1.2,47.7682685,8.9965753,6,102925.38
20,eui-70b3d57ed0044a53,2021-12-12T09:03:36.280898465Z,3.822,121221,0.9,47.7648162,8.9960165,7,90334
21,eui-70b3d57ed0044770,2021-12-12T08:58:03.772301691Z,4.0518,121221,0.9,47.7682228,8.9965887,7,85801.6
22,eui-70b3d57ed0044a31,2021-12-12T08:29:27.543279757Z,3.87,121221,0.8,47.82564,9.04935,8,82927
23,eui-70b3d57ed0044a43,2021-12-12T08:29:22.122695394Z,3.9736,121221,1.2,47.7682685,8.9965753,5,82920.31
24,eui-70b3d57ed0044a49,2021-12-12T08:24:29.057442532Z,3.7634,121221,1.5,47.7627792,8.9992485,5,82427
25,eui-70b3d57ed0044a36,2021-12-12T08:17:00.723324360Z,3.6656,121221,1.2,47.7675704,8.9967212,6,81659
26,eui-70b3d57ed0044a54,2021-12-12T07:11:02.880006324Z,3.6168,121221,1.2,47.7680206,8.996313,8,71100.86
27,eui-70b3d57ed0044a46,2021-12-12T07:03:59.443499652Z,3.6412,121221,1.6,47.7659034,8.9948015,5,70356.02
28,eui-70b3d57ed0044770,2021-12-12T06:57:47.070023232Z,3.9002,121221,0.9,47.7682228,8.9965887,7,65744.42
29,eui-70b3d57ed0044a53,2021-12-12T05:02:59.219328752Z,3.8025,121221,1.7,47.7648086,8.995758,6,50257
30,eui-70b3d57ed0044770,2021-12-12T04:57:40.904186365Z,3.9247,121221,0.9,47.7682228,8.9965887,6,45738.33
31,eui-70b3d57ed0044a43,2021-12-12T04:29:06.349158601Z,3.91,121221,0.9,47.7681274,8.9964437,8,42904
32,eui-70b3d57ed0044a49,2021-12-12T04:24:03.214322820Z,3.7878,121221,1.3,47.7634048,8.9969596,5,42400.92
33,eui-70b3d57ed0044a36,2021-12-12T04:16:03.740952342Z,3.6999,121221,1.7,47.7679862,8.9959096,5,41601.3
34,eui-70b3d57ed0044a54,2021-12-12T03:10:36.801875525Z,3.6999,121221,1.1,47.7681198,8.9963836,7,31035
35,eui-70b3d57ed0044a46,2021-12-12T03:03:01.741610362Z,3.6901,121221,1.2,47.7659301,8.9946737,5,30300
36,eui-70b3d57ed0044770,2021-12-12T02:57:34.766006580Z,3.9345,121221,0.9,47.7682228,8.9965887,8,25732.16
