"","id","message_time","volts","d/m/y","hdop","latitude","longitude","siv","h/m/s/cs"
"1","eui-70b3d57ed0044a49","2022-06-14T20:44:50.539021282Z","4.0322","140622","1.7",47.7686424,8.9995403,"6","204447.74"
"2","eui-70b3d57ed0044a4e","2022-06-14T20:38:23.930941702Z","4.0518","140622","1.1",47.7681045,8.9964866,"6","203822.08"
"3","eui-70b3d57ed0044a4b","2022-06-14T19:19:08.383831761Z","4.0175","140622","1.2",47.7679367,8.9966869,"5","191906"
"4","eui-70b3d57ed0044a4a","2022-06-14T19:04:45.841163182Z","4.0518","140622","1.5",47.7685585,8.9951496,"7","190443.47"
"5","eui-70b3d57ed0044a49","2022-06-14T18:44:35.167861885Z","4.0469","140622","1.7",47.7686424,8.9995403,"5","184432.84"
"6","eui-70b3d57ed0044a4e","2022-06-14T18:37:47.596077544Z","4.1006","140622","1.1",47.7681045,8.9964866,"5","183745.31"
"7","eui-70b3d57ed0044a35","2022-06-14T18:11:53.685792264Z","3.8758","140622","1",47.7681236,8.9965019,"7","181151.29"
"8","eui-70b3d57ed0044a4b","2022-06-14T17:18:53.063149305Z","4.0664","140622","1.2",47.7680435,8.9966201,"5","171850.74"
"9","eui-70b3d57ed0044a4a","2022-06-14T17:04:40.681895439Z","4.0371","140622","1.5",47.7685585,8.9951496,"5","170439"
"10","eui-70b3d57ed0044a49","2022-06-14T16:44:29.631193847Z","4.0224","140622","1.7",47.7686424,8.9995403,"5","164427.85"
"11","eui-70b3d57ed0044a4e","2022-06-14T16:37:21.063460660Z","4.13","140622","1.1",47.7681045,8.9964866,"5","163718.51"
"12","eui-70b3d57ed0044a4b","2022-06-14T15:18:47.335332201Z","4.0615","140622","1.2",47.7680435,8.9966201,"6","151844.75"
"13","eui-70b3d57ed0044a4a","2022-06-14T15:04:14.080086225Z","4.0566","140622","1.7",47.7681541,8.9955682,"5","150411.56"
"14","eui-70b3d57ed0044a49","2022-06-14T14:44:13.465950969Z","4.042","140622","1.7",47.7686424,8.9995403,"7","144410.85"
"15","eui-70b3d57ed0044a4e","2022-06-14T14:37:10.921423984Z","4.1593","140622","1.1",47.7681045,8.9964866,"6","143708.54"
"16","eui-70b3d57ed0044a35","2022-06-14T14:11:16.653513726Z","3.9198","140622","1",47.7681236,8.9965019,"5","141114.08"
"17","eui-70b3d57ed0044a4b","2022-06-14T13:18:37.190995190Z","4.0469","140622","1",47.7680931,8.9964303,"8","131835"
"18","eui-70b3d57ed0044a4a","2022-06-14T13:04:03.657809797Z","4.0664","140622","0.9",47.7680511,8.9964799,"8","130401.47"
"19","eui-70b3d57ed0044a49","2022-06-14T12:44:02.907932635Z","4.0175","140622","1.7",47.7686424,8.9995403,"5","124400.93"
"20","eui-70b3d57ed0044a4e","2022-06-14T12:37:05.377311194Z","4.13","140622","1.1",47.7681045,8.9964866,"7","123703"
"21","eui-70b3d57ed0044a4b","2022-06-14T11:18:05.599660687Z","4.0469","140622","1.1",47.7681274,8.9963817,"5","111803.82"
"22","eui-70b3d57ed0044a4a","2022-06-14T11:03:37.819812649Z","4.0811","140622","0.9",47.7681007,8.9964485,"6","110335.34"
"23","eui-70b3d57ed0044a49","2022-06-14T10:43:42.147577929Z","4.0273","140622","1.7",47.7686424,8.9995403,"5","104339.97"
"24","eui-70b3d57ed0044a4e","2022-06-14T10:36:23.800200137Z","4.1348","140622","1",47.7681694,8.9964981,"5","103622.08"
"25","eui-70b3d57ed0044a35","2022-06-14T10:11:06.345445646Z","3.866","140622","1",47.7681236,8.9965019,"8","101104"
"26","eui-70b3d57ed0044a4b","2022-06-14T09:17:49.638346718Z","4.042","140622","1.3",47.7680702,8.9965353,"6","91747"
"27","eui-70b3d57ed0044a4a","2022-06-14T09:03:32.588273980Z","4.0664","140622","0.9",47.7681007,8.9964485,"8","90330.4"
"28","eui-70b3d57ed0044a49","2022-06-14T08:43:15.975041571Z","3.998","140622","1.7",47.7686424,8.9995403,"5","84314"
"29","eui-70b3d57ed0044a4e","2022-06-14T08:35:58.019876847Z","4.1446","140622","1",47.7681694,8.9964981,"5","83555.61"
"30","eui-70b3d57ed0044a4b","2022-06-14T07:17:34.077923624Z","4.0175","140622","0.8",47.7680778,8.9964704,"11","71731.89"
"31","eui-70b3d57ed0044a49","2022-06-14T06:42:54.830480657Z","3.9882","140622","1.7",47.76865,8.9993963,"7","64252.05"
"32","eui-70b3d57ed0044a4e","2022-06-14T06:35:52.292158803Z","4.1055","140622","1",47.7681694,8.9964981,"7","63549.71"
"33","eui-70b3d57ed0044a35","2022-06-14T06:10:35.281420243Z","3.7585","140622","1.2",47.7681045,8.9963579,"7","61033"
"34","eui-70b3d57ed0044a4a","2022-06-14T05:03:06.811233537Z","3.8758","140622","0.8",47.7680664,8.9964704,"10","50305"
"35","eui-70b3d57ed0044a49","2022-06-14T04:42:13.480764817Z","4.0224","140622","1.3",47.7683982,8.9996337,"7","44211.12"
"36","eui-70b3d57ed0044a4e","2022-06-14T04:35:15.323540416Z","4.0127","140622","1",47.7680435,8.996438,"5","43512.74"
"37","eui-70b3d57ed0044a4b","2022-06-14T03:17:07.564584613Z","3.866","140622","0.9",47.7680664,8.9964466,"9","31705"
"38","eui-70b3d57ed0044a49","2022-06-14T02:42:08.616411417Z","4.0127","140622","1.3",47.7683982,8.9996337,"6","24206.16"
"39","eui-70b3d57ed0044a4e","2022-06-14T02:35:05.125383109Z","4.0224","140622","1",47.7680435,8.996438,"6","23502.77"
"40","eui-70b3d57ed0044a35","2022-06-14T02:10:04.251387933Z","3.7096","140622","1",47.7680473,8.9964981,"8","21002"
"41","eui-70b3d57ed0044a4a","2022-06-14T01:02:35.571002701Z","3.9051","140622","1.1",47.7681045,8.9964265,"7","10233"
"42","eui-70b3d57ed0044a49","2022-06-14T00:42:03.581865334Z","3.998","140622","1.3",47.7683982,8.9996337,"7","4201"
"43","eui-70b3d57ed0044a4e","2022-06-14T00:34:59.337212631Z","4.0273","140622","1",47.7680435,8.996438,"8","3457"
"44","eui-70b3d57ed0044a4b","2022-06-13T23:16:30.809101400Z","3.9051","130622","1.3",47.7681007,8.9964952,"6","231629"
"45","eui-70b3d57ed0044a4a","2022-06-13T23:02:09.770078946Z","3.9687","130622","1.1",47.7681045,8.9964551,"6","230207.22"
"46","eui-70b3d57ed0044a49","2022-06-13T22:41:32.426021771Z","4.0078","130622","1.1",47.7682762,8.9997234,"8","224130.25"
"47","eui-70b3d57ed0044a4e","2022-06-13T22:34:23.158303776Z","4.0664","130622","5.4",47.7682418,8.9959983,"6","223420.75"
"48","eui-70b3d57ed0044a35","2022-06-13T22:09:07.212178230Z","3.7732","130622","1.1",47.7681655,8.9964179,"6","220905"
"49","eui-70b3d57ed0044a4b","2022-06-13T21:15:48.846296813Z","3.9638","130622","2.2",47.7681541,8.9964103,"5","211546.26"
"50","eui-70b3d57ed0044a4a","2022-06-13T21:02:04.773413615Z","3.9589","130622","1.1",47.7681045,8.9964551,"8","210203"
