"","id","message_time","volts","d/m/y","hdop","latitude","longitude","siv","h/m/s/cs"
"1","eui-70b3d57ed0044a35","2022-06-25T16:47:41.304977446Z","3.9638","250622","1.8",47.7681732,8.9966716,"5","164739.23"
"2","eui-70b3d57ed0044a4b","2022-06-25T15:56:31.504164082Z","4.0371","250622","1.2",47.7680244,8.996478,"5","155629.51"
"3","eui-70b3d57ed0044a4a","2022-06-25T15:46:03.087254783Z","4.0713","250622","1.1",47.7681198,8.9965114,"6","154600.7"
"4","eui-70b3d57ed0044a4e","2022-06-25T15:15:11.010118436Z","4.1495","250622","1",47.7680664,8.9965248,"6","151508.56"
"5","eui-70b3d57ed0044a35","2022-06-25T14:47:31.079783631Z","3.9784","250622","1",47.7681007,8.9964771,"5","144728.54"
"6","eui-70b3d57ed0044a4b","2022-06-25T13:56:10.940477039Z","4.0615","250622","1.2",47.7680244,8.996478,"5","135608.45"
"7","eui-70b3d57ed0044a4a","2022-06-25T13:45:58.060972300Z","4.0811","250622","1.1",47.7681198,8.9965114,"5","134555.74"
"8","eui-70b3d57ed0044a4e","2022-06-25T13:15:06.040375559Z","4.1544","250622","1",47.7680664,8.9965248,"7","131503.66"
"9","eui-70b3d57ed0044a35","2022-06-25T12:47:25.805836436Z","3.954","250622","1",47.7681007,8.9964771,"5","124723.63"
"10","eui-70b3d57ed0044a4b","2022-06-25T11:56:05.968708961Z","4.0322","250622","1.2",47.7680244,8.996478,"7","115604"
"11","eui-70b3d57ed0044a4a","2022-06-25T11:45:52.221715297Z","4.0713","250622","1.1",47.7681198,8.9965114,"7","114549.63"
"12","eui-70b3d57ed0044a4e","2022-06-25T11:15:01.073594800Z","4.1397","250622","1",47.7680664,8.9965248,"7","111458.66"
"13","eui-70b3d57ed0044a4a","2022-06-25T09:45:15.187588469Z","4.0713","250622","1.1",47.7678947,8.9964828,"5","94512.55"
"14","eui-70b3d57ed0044a4e","2022-06-25T09:14:55.717914401Z","4.086","250622","1",47.7680664,8.9965248,"8","91454"
"15","eui-70b3d57ed0044a35","2022-06-25T08:46:59.915321013Z","3.8905","250622","1",47.7681007,8.9964771,"7","84658"
"16","eui-70b3d57ed0044a4b","2022-06-25T07:55:35.048242685Z","3.9345","250622","1.3",47.7679481,8.9964818,"6","75533"
"17","eui-70b3d57ed0044a4a","2022-06-25T07:45:05.002106104Z","4.0615","250622","1.1",47.7678947,8.9964828,"7","74503"
"18","eui-70b3d57ed0044a4e","2022-06-25T07:14:08.562000482Z","4.0518","250622","1.3",47.7681999,8.9964218,"6","71405.79"
