"","id","message_time","volts","d/m/y","hdop","latitude","longitude","siv","h/m/s/cs"
"1","eui-70b3d57ed0044a4e","2022-11-05T20:26:05.941001681Z","3.4066","999","23.1",9.99e-05,9.99e-05,"231","9.99"
"2","eui-70b3d57ed0044a4a","2022-11-05T05:07:26.671997015Z","3.4995","999","23.1",9.99e-05,9.99e-05,"231","9.99"
"3","eui-70b3d57ed0044a42","2022-11-05T00:47:04.774253746Z","4.1984","51122","1.1",47.7681884,8.9963932,"7","4703"
"4","eui-70b3d57ed0044a42","2022-11-04T22:46:38.919213417Z","4.2521","41122","0.9",47.7681121,8.9964685,"7","224636.53"
