"","id","message_time","volts","d/m/y","hdop","latitude","longitude","siv","h/m/s/cs"
"1","eui-70b3d57ed0044a35","2022-04-25T19:57:55.104708639Z","3.4408","999","23.1",9.99e-05,9.99e-05,"231","9.99"
"2","eui-70b3d57ed0044a49","2022-04-25T19:30:24.339722093Z","4.0273","250422","1",47.7684402,8.9995546,"7","193022"
"3","eui-70b3d57ed0044770","2022-04-25T18:29:33.365644690Z","4.0175","250422","1.3",47.7726135,9.0451231,"6","182931"
"4","eui-70b3d57ed0044a4a","2022-04-25T18:09:04.861768419Z","3.8807","250422","1.1",47.7679328,8.9964303,"7","180902.67"
"5","eui-70b3d57ed0044a4e","2022-04-25T18:08:04.315437810Z","3.9247","250422","0.9",47.7680473,8.9964437,"8","180802"
"6","eui-70b3d57ed0044a49","2022-04-25T17:29:42.172993811Z","4.0566","250422","1.3",47.7686691,8.9996852,"6","172939.59"
"7","eui-70b3d57ed0044770","2022-04-25T16:29:06.571922233Z","4.0224","250422","1.1",47.7722244,9.0448131,"6","162904"
"8","eui-70b3d57ed0044a4a","2022-04-25T16:08:39.051017155Z","4.0322","250422","1.7",47.7684555,8.9959115,"5","160836.67"
"9","eui-70b3d57ed0044a4e","2022-04-25T16:07:38.539021247Z","4.0273","250422","1.7",47.7680625,8.9964914,"5","160736.15"
"10","eui-70b3d57ed0044a4b","2022-04-25T16:06:03.064940913Z","3.8318","250422","1.4",47.7833366,9.0595178,"6","160601"
"11","eui-70b3d57ed0044a49","2022-04-25T15:29:32.021399265Z","4.0762","250422","1.3",47.7686691,8.9996852,"5","152929.62"
"12","eui-70b3d57ed0044770","2022-04-25T14:28:35.348824525Z","4.0273","250422","1.1",47.772274,9.0448179,"6","142833"
"13","eui-70b3d57ed0044a4a","2022-04-25T14:08:33.481203154Z","3.9833","250422","1",47.768135,8.9965448,"8","140831.69"
"14","eui-70b3d57ed0044a4e","2022-04-25T14:07:33.610585154Z","4.0029","250422","1",47.7681045,8.9964914,"8","140731"
"15","eui-70b3d57ed0044a49","2022-04-25T13:29:27.064237218Z","4.0762","250422","1.3",47.7686691,8.9996852,"5","132924.35"
"16","eui-70b3d57ed0044770","2022-04-25T12:27:16.749596778Z","4.0273","250422","5",47.7723197,9.0446901,"6","122714.98"
"17","eui-70b3d57ed0044a4a","2022-04-25T12:07:51.489314852Z","3.954","250422","1.7",47.7681236,8.9965152,"5","120749"
"18","eui-70b3d57ed0044a4e","2022-04-25T12:07:02.683691421Z","3.9833","250422","1.3",47.7681274,8.9964647,"5","120700.27"
"19","eui-70b3d57ed0044a4b","2022-04-25T12:05:36.835265467Z","3.8954","250422","23",47.7913398,8.9735269,"0","120534.98"
"20","eui-70b3d57ed0044a49","2022-04-25T11:29:22.117390610Z","4.0371","250422","1.3",47.7686691,8.9996852,"6","112920.22"
"21","eui-70b3d57ed0044770","2022-04-25T10:26:39.736989505Z","4.042","250422","1.1",47.7723197,9.0446901,"6","102637.97"
"22","eui-70b3d57ed0044a4a","2022-04-25T10:07:36.115318584Z","3.998","250422","1.1",47.7681846,8.9964752,"7","100734"
"23","eui-70b3d57ed0044a4e","2022-04-25T10:06:56.886508186Z","3.9736","250422","0.9",47.7681922,8.996478,"9","100654.31"
"24","eui-70b3d57ed0044a49","2022-04-25T09:28:50.954702918Z","4.0273","250422","1.3",47.7686691,8.9996852,"5","92848.27"
"25","eui-70b3d57ed0044770","2022-04-25T08:26:28.559341985Z","4.0371","250422","1.1",47.7723197,9.0446901,"6","82626.07"
"26","eui-70b3d57ed0044a36","2022-04-25T07:30:34.515971677Z","3.5728","999","23.1",9.99e-05,9.99e-05,"231","9.99"
"27","eui-70b3d57ed0044a49","2022-04-25T07:28:24.795214960Z","4.0273","250422","1",47.7683639,8.9995985,"5","72822.81"
"28","eui-70b3d57ed0044770","2022-04-25T06:26:22.729480393Z","4.0078","250422","1.1",47.7723197,9.0446901,"7","62621"
"29","eui-70b3d57ed0044a4a","2022-04-25T06:07:04.938698643Z","3.8611","250422","1",47.768135,8.9964551,"7","60703"
"30","eui-70b3d57ed0044a4e","2022-04-25T06:06:20.802949505Z","3.9345","250422","0.9",47.7681083,8.9965,"5","60618.41"
"31","eui-70b3d57ed0044a49","2022-04-25T05:28:03.429634737Z","4.0127","250422","1",47.7683639,8.9995985,"5","52800.82"
"32","eui-70b3d57ed0044770","2022-04-25T04:25:45.737976984Z","4.0175","250422","1.6",47.7723693,9.0452032,"6","42543.93"
