"","id","message_time","volts","d/m/y","hdop","latitude","longitude","siv","h/m/s/cs"
"1","eui-70b3d57ed0044a3f","2021-09-05T15:44:59.045524542Z","4.0566","50921","1.3",47.7681198,8.9964103,"5","154457"
"2","eui-70b3d57ed0044a2c","2021-09-05T15:44:49.302384624Z","4.086","50921","1.3",47.7680702,8.996397,"5","154446.49"
"3","eui-70b3d57ed004476d","2021-09-05T15:43:33.886508020Z","4.0909","50921","1",47.7681121,8.9964504,"7","154332"
"4","eui-70b3d57ed0044a2b","2021-09-05T15:38:35.016914256Z","3.9833","50921","0.8",47.7681007,8.9964504,"9","153833"
"5","eui-70b3d57ed0044a55","2021-09-05T15:34:42.613922956Z","4.1739","50921","1.2",47.7681198,8.9964246,"5","153439.94"
"6","eui-70b3d57ed0044a35","2021-09-05T15:34:35.582040088Z","3.7976","50921","0.9",47.7680892,8.996417,"8","153433"
"7","eui-70b3d57ed0044a51","2021-09-05T15:30:15.337127007Z","4.086","50921","1",47.7680931,8.9964962,"5","153012.75"
"8","eui-70b3d57ed0044a54","2021-09-05T15:28:32.935708952Z","4.0811","50921","1",47.7682075,8.9963512,"8","152831"
"9","eui-70b3d57ed0044a33","2021-09-05T15:27:04.294342844Z","3.954","50921","1",47.7680549,8.9964771,"6","152702.3"
"10","eui-70b3d57ed0044a56","2021-09-05T15:26:24.569725768Z","4.1739","50921","0.9",47.7681121,8.9964199,"5","152622.02"
"11","eui-70b3d57ed0044a31","2021-09-05T15:25:03.599413938Z","4.0664","50921","1",47.7680282,8.9965267,"5","152501.19"
"12","eui-70b3d57ed0044a32","2021-09-05T15:24:24.679447140Z","4.0322","50921","2",47.7679176,8.9964818,"6","152422.3"
"13","eui-70b3d57ed0044a53","2021-09-05T15:17:39.115637992Z","4.1739","50921","1.2",47.7681541,8.9964866,"6","151736.7"
"14","eui-70b3d57ed0044a4f","2021-09-05T15:07:01.554678207Z","3.9882","50921","1",47.7678794,8.9968986,"6","150659.31"
"15","eui-70b3d57ed0044a30","2021-09-05T15:03:57.980068627Z","4.0811","50921","1.1",47.7681083,8.9964179,"6","150355.38"
"16","eui-70b3d57ed0044a4e","2021-09-05T15:02:59.188765085Z","4.1544","50921","1",47.7681083,8.9964351,"5","150256.64"
"17","eui-70b3d57ed0044a49","2021-09-05T15:02:47.636032006Z","4.042","50921","1",47.7681159,8.9964599,"6","150244.83"
"18","eui-70b3d57ed0044a3e","2021-09-05T15:02:06.545318123Z","4.086","50921","0.9",47.7681541,8.9965448,"7","150204.36"
"19","eui-70b3d57ed0044a4a","2021-09-05T15:01:01.507387743Z","4.0713","50921","1.1",47.7681121,8.996478,"6","150117"
"20","eui-70b3d57ed0044a4b","2021-09-05T14:58:33.747828864Z","4.0127","50921","1.1",47.7681198,8.9964532,"7","145834.35"
"21","eui-70b3d57ed0044a3c","2021-09-05T14:58:08.376526951Z","4.1691","50921","0.9",47.7681655,8.9964866,"9","145805.89"
"22","eui-70b3d57ed0044770","2021-09-05T14:47:35.406556167Z","4.1006","50921","1.2",47.7680854,8.9964618,"6","144733"
"23","eui-70b3d57ed0044a3a","2021-09-05T14:42:18.436374414Z","4.1006","50921","1",47.7680931,8.9964351,"6","144215.81"
"24","eui-70b3d57ed0044a3b","2021-09-05T14:41:31.928865824Z","4.1348","50921","1.6",47.7681655,8.9964151,"5","144129.63"
"25","eui-70b3d57ed0044a40","2021-09-05T14:36:41.351590869Z","4.0762","50921","1.2",47.7680587,8.9965286,"7","143638.93"
"26","eui-70b3d57ed004476c","2021-09-05T14:21:29.527939135Z","4.0566","50921","1.2",47.7681121,8.9964828,"7","142126.73"
"27","eui-70b3d57ed0044a47","2021-09-05T14:18:24.921356565Z","4.0175","50921","1.2",47.7679672,8.9963331,"7","141822.49"
"28","eui-70b3d57ed0044a39","2021-09-05T14:18:12.300247956Z","4.0322","50921","1.3",47.7678298,8.9969396,"6","141810"
"29","eui-70b3d57ed0044a45","2021-09-05T14:18:04.084609401Z","4.1006","50921","3.4",47.7681617,8.996417,"7","141800.59"
"30","eui-70b3d57ed0044a46","2021-09-05T14:17:43.398021544Z","4.1397","50921","1.1",47.7680625,8.9965295,"5","141740.75"
"31","eui-70b3d57ed004476f","2021-09-05T14:16:22.817640016Z","4.0224","50921","1.2",47.7680816,8.9964618,"8","141620.04"
"32","eui-70b3d57ed0044a2d","2021-09-05T14:14:41.370291136Z","4.0224","50921","1.2",47.7681465,8.9965229,"9","141438.94"
"33","eui-70b3d57ed0044a44","2021-09-05T14:11:33.608582010Z","4.1788","50921","0.9",47.7680969,8.9964151,"8","141134.01"
"34","eui-70b3d57ed0044a43","2021-09-05T14:10:10.930529325Z","4.0811","50921","1.1",47.7675285,8.9965286,"8","141008.5"
"35","eui-70b3d57ed0044a38","2021-09-05T14:09:30.209355183Z","4.0322","50921","1.3",47.7675056,8.9967145,"7","140927.09"
"36","eui-70b3d57ed0044a42","2021-09-05T14:08:42.699233439Z","4.0175","50921","1",47.7682609,8.9965515,"8","140840.3"
"37","eui-70b3d57ed0044a2e","2021-09-05T14:06:11.804528760Z","4.1788","50921","2.5",47.7677764,8.9964466,"7","140609.39"
"38","eui-70b3d57ed0044a4d","2021-09-05T14:03:31.955435507Z","4.0078","50921","1.2",47.7683181,8.9962215,"6","140329.52"
