"","id","message_time","volts","d/m/y","hdop","latitude","longitude","siv","h/m/s/cs"
"1","eui-70b3d57ed0044a54","2022-03-05T21:06:06.069737628Z","3.7341","50322","0.9",47.7727203,9.0490837,"9","210604"
"2","eui-70b3d57ed0044770","2022-03-05T20:27:12.293548293Z","3.9687","50322","1.2",47.7722015,9.047182,"6","202710"
"3","eui-70b3d57ed0044a36","2022-03-05T20:25:36.203490936Z","3.7781","50322","1",47.7679023,8.9967784,"7","202534"
"4","eui-70b3d57ed0044a49","2022-03-05T20:22:54.880678156Z","4.0127","50322","2.7",47.7687644,9.0002384,"6","202252.67"
"5","eui-70b3d57ed0044a53","2022-03-05T20:21:28.599394956Z","4.1104","50322","0.9",47.7655448,8.9961185,"5","202125.87"
"6","eui-70b3d57ed0044770","2022-03-05T18:26:56.570184945Z","3.9687","50322","1",47.7724647,9.046648,"8","182654"
"7","eui-70b3d57ed0044a49","2022-03-05T18:22:29.122067676Z","4.0615","50322","2.7",47.7687644,9.0002384,"6","182226.71"
"8","eui-70b3d57ed0044a53","2022-03-05T18:21:17.799154610Z","4.1251","50322","0.9",47.7655448,8.9961185,"8","182115.02"
"9","eui-70b3d57ed0044a43","2022-03-05T18:12:25.550358523Z","3.9345","50322","1",47.7680969,8.996478,"5","181223.34"
"10","eui-70b3d57ed0044a54","2022-03-05T17:05:29.472043606Z","3.8563","50322","1",47.7726936,9.04916,"8","170527"
"11","eui-70b3d57ed0044770","2022-03-05T16:26:30.030267707Z","3.9931","50322","1.1",47.7724533,9.0467901,"7","162628"
"12","eui-70b3d57ed0044a36","2022-03-05T16:23:36.066725108Z","3.8025","50322","0.9",47.7678222,8.9959745,"8","162334"
"13","eui-70b3d57ed0044a49","2022-03-05T16:22:24.013467744Z","4.042","50322","2.7",47.7687644,9.0002384,"5","162222"
"14","eui-70b3d57ed0044a53","2022-03-05T16:21:01.815571820Z","4.1251","50322","0.9",47.7655448,8.9961185,"5","162100.02"
"15","eui-70b3d57ed0044a4e","2022-03-05T16:14:02.922564719Z","3.5679","999","23.1",9.99e-05,9.99e-05,"231","9.99"
"16","eui-70b3d57ed0044a43","2022-03-05T16:11:59.631976545Z","3.9931","50322","1",47.7680969,8.996478,"6","161157.36"
"17","eui-70b3d57ed0044a54","2022-03-05T15:05:03.634187325Z","3.9833","50322","0.9",47.7727279,9.049057,"9","150501.23"
"18","eui-70b3d57ed0044770","2022-03-05T14:25:47.771835930Z","4.0518","50322","0.9",47.7723731,9.0466985,"6","142546.01"
"19","eui-70b3d57ed0044a49","2022-03-05T14:21:58.274668317Z","4.0762","50322","1.2",47.7684326,9.0001068,"5","142155.91"
"20","eui-70b3d57ed0044a53","2022-03-05T14:20:45.652800714Z","4.1544","50322","0.9",47.7655448,8.9961185,"5","142043.03"
"21","eui-70b3d57ed0044a43","2022-03-05T14:11:53.807571092Z","3.998","50322","1",47.7680969,8.996478,"8","141152"
"22","eui-70b3d57ed0044a54","2022-03-05T13:04:32.208734735Z","4.0322","50322","0.9",47.7726974,9.0491247,"5","130430.22"
"23","eui-70b3d57ed0044770","2022-03-05T12:25:36.535746358Z","4.0371","50322","0.9",47.7723731,9.0466985,"8","122534"
"24","eui-70b3d57ed0044a36","2022-03-05T12:22:59.405126543Z","3.7829","50322","1.5",47.7673797,8.9947719,"5","122257"
"25","eui-70b3d57ed0044a49","2022-03-05T12:21:53.005819655Z","4.0371","50322","1.2",47.7684326,9.0001068,"6","122151"
"26","eui-70b3d57ed0044a53","2022-03-05T12:20:35.446570235Z","4.1642","50322","0.9",47.7655448,8.9961185,"5","122032.93"
"27","eui-70b3d57ed0044a43","2022-03-05T12:11:16.816823340Z","4.0469","50322","0.9",47.7680435,8.9964685,"5","121114.28"
"28","eui-70b3d57ed0044a35","2022-03-05T11:35:04.969748248Z","3.4115","999","23.1",9.99e-05,9.99e-05,"231","9.99"
"29","eui-70b3d57ed0044a54","2022-03-05T11:04:10.827070446Z","3.9833","50322","0.9",47.7726974,9.0491247,"7","110408.45"
"30","eui-70b3d57ed0044770","2022-03-05T10:25:04.497572730Z","3.9833","50322","1.1",47.7722778,9.0467395,"6","102501.89"
"31","eui-70b3d57ed0044a49","2022-03-05T10:21:06.444373624Z","4.0664","50322","1.1",47.7683982,8.9997835,"6","102104.06"
"32","eui-70b3d57ed0044a53","2022-03-05T10:20:29.863827051Z","4.13","50322","0.9",47.7655448,8.9961185,"7","102028.07"
"33","eui-70b3d57ed0044a43","2022-03-05T10:11:06.649878784Z","4.0322","50322","0.9",47.7680435,8.9964685,"9","101105"
"34","eui-70b3d57ed0044a54","2022-03-05T09:04:00.025466728Z","3.954","50322","0.9",47.7726974,9.0491247,"8","90358"
"35","eui-70b3d57ed0044770","2022-03-05T08:24:58.609829874Z","3.9345","50322","1.1",47.7722778,9.0467395,"8","82455.83"
"36","eui-70b3d57ed0044a49","2022-03-05T08:21:01.522284401Z","4.0566","50322","1.1",47.7683982,8.9997835,"8","82059.12"
"37","eui-70b3d57ed0044a36","2022-03-05T08:20:34.052912508Z","3.7829","50322","1.6",47.767868,8.9954452,"6","82031.65"
"38","eui-70b3d57ed0044a53","2022-03-05T08:19:47.664455095Z","4.13","50322","2",47.7647743,8.9957199,"6","81945.04"
"39","eui-70b3d57ed0044770","2022-03-05T06:24:21.879998962Z","3.8318","50322","1.5",47.7723884,9.0466699,"6","62419.69"
"40","eui-70b3d57ed0044a49","2022-03-05T06:20:56.583622956Z","4.0273","50322","1.5",47.7683601,8.9998531,"7","62054.23"
"41","eui-70b3d57ed0044a53","2022-03-05T06:19:37.065325188Z","4.0762","50322","2",47.7647743,8.9957199,"5","61935.08"
"42","eui-70b3d57ed0044a43","2022-03-05T06:10:35.549554117Z","3.8123","50322","1.1",47.768074,8.9964599,"7","61033"
"43","eui-70b3d57ed0044a54","2022-03-05T05:03:18.017092379Z","3.6999","50322","1.5",47.7738571,9.0486869,"6","50316.21"
"44","eui-70b3d57ed0044770","2022-03-05T04:24:00.489651622Z","3.8807","50322","1.5",47.7723884,9.0466699,"6","42358"
"45","eui-70b3d57ed0044a49","2022-03-05T04:20:50.853794044Z","3.998","50322","1.5",47.7683601,8.9998531,"7","42048.27"
"46","eui-70b3d57ed0044a36","2022-03-05T04:20:02.910635512Z","3.7683","50322","1.4",47.7679061,8.9958229,"6","42000.92"
"47","eui-70b3d57ed0044a53","2022-03-05T04:19:15.647609099Z","4.1055","50322","2",47.7647743,8.9957199,"5","41912.94"
"48","eui-70b3d57ed0044a4b","2022-03-05T04:19:04.852896384Z","3.6265","50322","1.2",47.7680969,8.9964866,"7","41903"
"49","eui-70b3d57ed0044770","2022-03-05T02:23:18.119377531Z","3.9149","50322","0.8",47.7724151,9.046792,"6","22316.28"
"50","eui-70b3d57ed0044a49","2022-03-05T02:20:13.932716687Z","4.0224","50322","1.8",47.7683067,9.0004386,"5","22011.27"
"51","eui-70b3d57ed0044a53","2022-03-05T02:19:05.265487957Z","4.0957","50322","2",47.7647743,8.9957199,"5","21902.06"
"52","eui-70b3d57ed0044a43","2022-03-05T02:10:04.188626990Z","3.8465","50322","1",47.7680664,8.9964399,"8","21001.77"
"53","eui-70b3d57ed0044a54","2022-03-05T01:02:56.994790193Z","3.7292","50322","1.5",47.7738571,9.0486869,"5","10255"
