"","id","message_time","volts","d/m/y","hdop","latitude","longitude","siv","h/m/s/cs"
"1","eui-70b3d57ed0044a4e","2022-09-28T20:10:36.217505849Z","3.6363","280922","1.4",47.7681121,8.9963283,"6","201034"
"2","eui-70b3d57ed0044a4a","2022-09-28T19:22:33.355291911Z","3.7927","280922","0.9",47.7681083,8.9964532,"8","192230.96"
"3","eui-70b3d57ed0044a4b","2022-09-28T17:11:32.612166858Z","3.6901","280922","1.2",47.7680892,8.9964599,"7","171130.21"
"4","eui-70b3d57ed0044a4a","2022-09-28T15:22:02.277917820Z","3.822","280922","0.9",47.7680778,8.9964704,"5","152159.89"
"5","eui-70b3d57ed0044a35","2022-09-28T15:11:09.215371691Z","3.4066","999","23.1",9.99e-05,9.99e-05,"231","9.99"
"6","eui-70b3d57ed0044a4b","2022-09-28T13:11:01.011730912Z","3.6999","280922","0.9",47.7680816,8.9964704,"8","131059"
"7","eui-70b3d57ed0044a4a","2022-09-28T11:21:31.032841650Z","3.8416","280922","0.9",47.7680778,8.9964704,"5","112128.84"
"8","eui-70b3d57ed0044a4b","2022-09-28T09:10:19.043556821Z","3.7341","280922","1",47.7681694,8.9964284,"6","91017.25"
"9","eui-70b3d57ed0044a4a","2022-09-28T07:21:05.199513451Z","3.822","280922","0.9",47.7680778,8.9964704,"9","72103"
"10","eui-70b3d57ed0044a4b","2022-09-28T05:10:03.659907998Z","3.7194","280922","1",47.7681694,8.9964284,"8","51001.27"
"11","eui-70b3d57ed0044a4a","2022-09-28T03:20:34.133146152Z","3.8074","280922","1.2",47.7681846,8.9965353,"7","32031.74"
"12","eui-70b3d57ed0044a4b","2022-09-28T01:09:32.457617498Z","3.7243","280922","1",47.7681617,8.9964246,"8","10930.26"
"13","eui-70b3d57ed0044a4a","2022-09-27T23:20:02.869120329Z","3.8269","270922","0.9",47.7680015,8.9965333,"10","232000.67"
"14","eui-70b3d57ed0044a4b","2022-09-27T21:09:06.660593108Z","3.7341","270922","0.8",47.7682113,8.996478,"9","210905"
