"","id","message_time","volts","d/m/y","hdop","latitude","longitude","siv","h/m/s/cs"
"1","eui-70b3d57ed0044a43","2021-12-30T17:30:44.768589350Z","4.042","301221","1.5",47.7679901,8.9967079,"5","173042.16"
"2","eui-70b3d57ed0044a49","2021-12-30T17:20:35.153898225Z","3.7292","301221","1.4",47.7634658,8.9968767,"5","172033"
"3","eui-70b3d57ed0044a46","2021-12-30T16:24:39.155628938Z","3.7585","301221","20.8",47.7659072,8.9950532,"0","162437.3"
"4","eui-70b3d57ed0044770","2021-12-30T16:07:05.130338864Z","4.0762","301221","1",47.7681045,8.9964866,"7","160703"
"5","eui-70b3d57ed0044a43","2021-12-30T15:30:34.293828050Z","4.0518","301221","1",47.7680625,8.9964771,"7","153031.3"
"6","eui-70b3d57ed0044770","2021-12-30T14:06:38.308410762Z","4.0957","301221","1.2",47.7681465,8.9963998,"7","140635.74"
"7","eui-70b3d57ed0044a53","2021-12-30T14:02:15.376796250Z","3.8123","301221","1.3",47.7648429,8.9957981,"5","140213.4"
"8","eui-70b3d57ed0044a43","2021-12-30T13:30:08.244562117Z","4.0615","301221","1.1",47.7676048,8.9970836,"5","133005.05"
"9","eui-70b3d57ed0044a49","2021-12-30T13:19:58.253302870Z","3.7438","301221","1.4",47.7635307,8.9970302,"6","131955.67"
"10","eui-70b3d57ed0044a46","2021-12-30T12:19:37.415380057Z","3.7829","301221","0.9",47.7659072,8.9950532,"6","121935"
"11","eui-70b3d57ed0044770","2021-12-30T12:06:33.074155743Z","4.0811","301221","1.2",47.7681465,8.9963998,"8","120631"
"12","eui-70b3d57ed0044a43","2021-12-30T11:29:42.400518650Z","4.0762","301221","1.9",47.7680969,8.9965581,"5","112940.01"
"13","eui-70b3d57ed0044770","2021-12-30T10:06:07.057621393Z","4.0762","301221","1.2",47.7681083,8.9963998,"7","100605"
"14","eui-70b3d57ed0044a53","2021-12-30T10:01:54.393385438Z","3.7976","301221","1.3",47.7648429,8.9957981,"5","100152.41"
"15","eui-70b3d57ed0044a43","2021-12-30T09:29:36.595904923Z","3.9931","301221","1.1",47.7681655,8.9964513,"8","92934"
