"","id","message_time","volts","d/m/y","hdop","latitude","longitude","siv","h/m/s/cs"
"1","eui-70b3d57ed0044770","2021-12-04T18:28:00.860323421Z","3.9833","41221","1.1",47.7681083,8.9965248,"7","182759"
"2","eui-70b3d57ed0044a43","2021-12-04T18:06:09.091893256Z","4.0078","41221","1.6",47.7680168,8.9965696,"5","180606.71"
"3","eui-70b3d57ed0044a46","2021-12-04T17:34:38.770267385Z","3.8514","41221","20",47.7658729,8.9947299,"0","173437.09"
"4","eui-70b3d57ed0044a54","2021-12-04T16:56:05.633534967Z","3.8367","41221","1.1",47.7681884,8.9964799,"6","165603"
"5","eui-70b3d57ed0044a53","2021-12-04T16:39:15.357379011Z","3.8025","41221","1.2",47.7646217,8.9967403,"5","163913.37"
"6","eui-70b3d57ed0044770","2021-12-04T16:27:18.584444350Z","4.0029","41221","1.4",47.7682113,8.996335,"6","162716"
"7","eui-70b3d57ed0044a43","2021-12-04T16:06:03.989951553Z","3.9931","41221","1",47.7680702,8.9964981,"8","160601.6"
"8","eui-70b3d57ed0044a49","2021-12-04T15:59:36.439761801Z","3.7927","41221","1.2",47.7633972,8.9968948,"7","155934"
"9","eui-70b3d57ed0044a36","2021-12-04T15:52:03.601166053Z","3.7194","41221","1.3",47.7682037,8.9959516,"6","155201.41"
"10","eui-70b3d57ed0044770","2021-12-04T14:26:41.321716425Z","4.042","41221","1.4",47.7681121,8.9965162,"7","142638.73"
"11","eui-70b3d57ed0044a43","2021-12-04T14:05:32.710866965Z","3.954","41221","1",47.7681617,8.9964113,"6","140530.69"
"12","eui-70b3d57ed0044a46","2021-12-04T13:29:36.704833604Z","3.9002","41221","13.4",47.7658729,8.9947299,"7","132934"
"13","eui-70b3d57ed0044a54","2021-12-04T12:55:34.319063212Z","3.8954","41221","1.3",47.7681312,8.9964714,"6","125531.09"
"14","eui-70b3d57ed0044a53","2021-12-04T12:38:54.552833709Z","3.7976","41221","1.2",47.7646217,8.9967403,"5","123852.37"
"15","eui-70b3d57ed0044770","2021-12-04T12:26:35.239729431Z","4.0371","41221","1.1",47.7681236,8.9964532,"7","122633"
"16","eui-70b3d57ed0044a49","2021-12-04T11:59:05.515093952Z","3.7927","41221","1.4",47.7653083,9.0007915,"6","115903"
"17","eui-70b3d57ed0044a36","2021-12-04T11:51:32.451093081Z","3.7341","41221","1.5",47.7676734,8.9963636,"5","115130.61"
"18","eui-70b3d57ed0044a46","2021-12-04T11:24:34.444201889Z","3.9589","41221","20",47.7658729,8.9947299,"0","112432.49"
"19","eui-70b3d57ed0044770","2021-12-04T10:26:03.977838375Z","3.9833","41221","1.2",47.7681694,8.9964132,"6","102602"
"20","eui-70b3d57ed0044a43","2021-12-04T10:05:06.779437161Z","3.9442","41221","1.1",47.7681388,8.9964246,"7","100505"
"21","eui-70b3d57ed0044a54","2021-12-04T08:55:08.398353478Z","3.8367","41221","0.9",47.7681388,8.9965114,"5","85506.16"
"22","eui-70b3d57ed0044a53","2021-12-04T08:38:28.546729591Z","3.8025","41221","1.2",47.7646217,8.9967403,"6","83826.37"
"23","eui-70b3d57ed0044770","2021-12-04T08:25:37.496905884Z","3.954","41221","1.1",47.7681045,8.9965629,"7","82535.53"
"24","eui-70b3d57ed0044a49","2021-12-04T07:58:34.604126797Z","3.7781","41221","1",47.7648468,9.0005865,"8","75831.22"
"25","eui-70b3d57ed0044a36","2021-12-04T07:51:05.893997791Z","3.7145","41221","1.5",47.7678413,8.9967479,"5","75104"
"26","eui-70b3d57ed0044a46","2021-12-04T07:19:32.242923385Z","3.9296","41221","8",47.7658729,8.9947299,"0","71930.22"
"27","eui-70b3d57ed0044770","2021-12-04T06:25:21.401722637Z","3.9442","41221","1.1",47.7681045,8.9965629,"7","62519.43"
"28","eui-70b3d57ed0044a43","2021-12-04T06:04:35.442603782Z","3.91","41221","1",47.7680549,8.996437,"8","60433"
"29","eui-70b3d57ed0044a46","2021-12-04T05:14:30.630525847Z","3.9882","41221","1.2",47.7658729,8.9947299,"5","51428.08"
"30","eui-70b3d57ed0044a54","2021-12-04T04:55:03.056374730Z","3.7585","41221","0.9",47.7681388,8.9965114,"8","45501.05"
"31","eui-70b3d57ed0044a53","2021-12-04T04:38:02.544985015Z","3.8074","41221","1.5",47.7648925,8.9958753,"6","43800.36"
"32","eui-70b3d57ed0044770","2021-12-04T04:25:05.085969537Z","3.9247","41221","1.1",47.7681045,8.9965629,"6","42503"
"33","eui-70b3d57ed0044a49","2021-12-04T03:58:03.497678287Z","3.7781","41221","0.9",47.7633514,8.9969282,"8","35800.3"
"34","eui-70b3d57ed0044a46","2021-12-04T03:13:32.695266480Z","3.9687","41221","1.2",47.7658729,8.9947299,"6","31330.1"
"35","eui-70b3d57ed0044770","2021-12-04T02:24:28.158591654Z","3.9345","41221","1.1",47.7681083,8.9964981,"6","22426.19"
"36","eui-70b3d57ed0044a43","2021-12-04T02:04:04.141326004Z","3.9051","41221","1.1",47.7681198,8.9964647,"7","20401.75"
"37","eui-70b3d57ed0044a46","2021-12-04T01:12:55.979720318Z","3.9687","41221","1.3",47.7659645,8.9947986,"6","11254"
"38","eui-70b3d57ed0044a54","2021-12-04T00:54:37.455052614Z","3.7341","41221","1.1",47.7680892,8.9964828,"7","5435"
"39","eui-70b3d57ed0044a53","2021-12-04T00:37:36.750842393Z","3.8123","41221","1",47.7648353,8.9960212,"7","3735"
"40","eui-70b3d57ed0044770","2021-12-04T00:24:12.224836060Z","3.9345","41221","1.1",47.7681083,8.9964981,"6","2410"
"41","eui-70b3d57ed0044a49","2021-12-03T23:57:36.985865861Z","3.7878","31221","1.1",47.7633666,8.9969615,"7","235735"
"42","eui-70b3d57ed0044a4c","2021-12-03T23:36:16.908439455Z","3.5777","999","23.1",9.99e-05,9.99e-05,"231","9.99"
"43","eui-70b3d57ed0044a4e","2021-12-03T23:19:00.489973500Z","3.5141","999","23.1",9.99e-05,9.99e-05,"231","9.99"
"44","eui-70b3d57ed0044a46","2021-12-03T23:12:14.176830140Z","4.0127","31221","3.4",47.7661323,8.9945735,"6","231211.79"
"45","eui-70b3d57ed0044770","2021-12-03T22:23:50.691468336Z","3.9442","31221","1.1",47.7680778,8.9964513,"7","222348.43"
"46","eui-70b3d57ed0044a43","2021-12-03T22:03:32.826407404Z","3.8905","31221","1",47.7680587,8.9965038,"7","220330.63"
"47","eui-70b3d57ed0044a46","2021-12-03T21:11:16.218972667Z","4.0078","31221","1.5",47.7661323,8.9945735,"6","211113.62"
"48","eui-70b3d57ed0044a54","2021-12-03T20:54:05.831624077Z","3.7683","31221","1",47.7681007,8.9964017,"8","205404"
"49","eui-70b3d57ed0044a53","2021-12-03T20:37:05.758908476Z","3.822","31221","0.9",47.7648277,8.99582,"9","203704"
"50","eui-70b3d57ed0044770","2021-12-03T20:23:13.383493522Z","3.9736","31221","1.4",47.768074,8.9965581,"6","202310.83"
"51","eui-70b3d57ed0044a49","2021-12-03T19:57:00.087283237Z","3.7829","31221","3",47.7632331,8.9969463,"5","195658"
"52","eui-70b3d57ed0044a46","2021-12-03T19:11:05.262970500Z","4.0175","31221","1.4",47.766056,8.9947719,"6","191103"
