"","id","message_time","volts","d/m/y","hdop","latitude","longitude","siv","h/m/s/cs"
"1","eui-70b3d57ed0044a49","2022-03-31T19:52:12.386943775Z","3.998","310322","2.6",47.7682647,8.9999504,"5","195210.2"
"2","eui-70b3d57ed0044a4e","2022-03-31T18:51:46.906037725Z","3.8709","310322","1.2",47.7681045,8.9965381,"5","185144.3"
"3","eui-70b3d57ed0044a36","2022-03-31T18:30:17.457050614Z","3.8709","310322","3.8",47.7674255,8.9958114,"5","183015.66"
"4","eui-70b3d57ed0044a49","2022-03-31T17:51:20.249244018Z","4.0469","310322","1.5",47.7682647,8.9999504,"5","175118.26"
"5","eui-70b3d57ed0044770","2022-03-31T16:20:53.750536952Z","3.8172","310322","1.1",47.7719154,9.0451068,"6","162050.98"
"6","eui-70b3d57ed0044a35","2022-03-31T15:49:23.669724124Z","3.4066","999","23.1",9.99e-05,9.99e-05,"231","9.99"
"7","eui-70b3d57ed0044a4e","2022-03-31T14:51:36.121335043Z","3.8954","310322","1",47.7681388,8.9964532,"8","145134"
"8","eui-70b3d57ed0044a36","2022-03-31T14:29:30.151538482Z","3.8905","310322","1.3",47.7679138,8.9957571,"5","142928"
"9","eui-70b3d57ed0044770","2022-03-31T14:20:42.550050983Z","3.8172","310322","1.1",47.7719154,9.0451068,"6","142039.92"
"10","eui-70b3d57ed0044a43","2022-03-31T13:59:31.524219941Z","4.0127","310322","0.8",47.6701889,8.9458045,"9","135929"
"11","eui-70b3d57ed0044a49","2022-03-31T13:50:22.773446466Z","4.0518","310322","1",47.76865,9.0000696,"5","135020.4"
"12","eui-70b3d57ed0044a4e","2022-03-31T12:50:54.312066743Z","3.9736","310322","1.1",47.7680816,8.9964437,"6","125052"
"13","eui-70b3d57ed0044770","2022-03-31T12:20:36.945453231Z","3.8172","310322","1.1",47.7719154,9.0451068,"6","122035"
"14","eui-70b3d57ed0044a49","2022-03-31T11:49:51.039158071Z","4.0615","310322","1",47.76865,9.0000696,"8","114948.46"
"15","eui-70b3d57ed0044a4e","2022-03-31T10:50:33.580675932Z","3.9833","310322","1",47.7681159,8.9965038,"7","105030.3"
"16","eui-70b3d57ed0044a36","2022-03-31T10:27:36.022684415Z","3.9149","310322","0.9",47.7677841,8.996272,"8","102734"
"17","eui-70b3d57ed0044770","2022-03-31T10:20:20.977786725Z","3.8123","310322","1.2",47.7722702,9.0448284,"7","102019"
"18","eui-70b3d57ed0044a49","2022-03-31T09:49:14.511846152Z","4.0469","310322","1.1",47.7684402,8.9997386,"5","94912.53"
"19","eui-70b3d57ed0044770","2022-03-31T08:20:04.955340668Z","3.8074","310322","1.1",47.7721824,9.0444068,"6","82003"
"20","eui-70b3d57ed0044a54","2022-03-31T08:19:02.825981512Z","3.6461","310322","1.5",47.7722206,9.0446453,"5","81900.09"
"21","eui-70b3d57ed0044a49","2022-03-31T07:48:53.975227477Z","4.0664","310322","1.1",47.7684402,8.9997386,"6","74851.63"
"22","eui-70b3d57ed0044a4e","2022-03-31T06:50:07.282435862Z","3.866","310322","0.8",47.7680816,8.9964752,"10","65005"
"23","eui-70b3d57ed0044a36","2022-03-31T06:27:04.505621474Z","3.8954","310322","1.6",47.7675399,8.9962053,"5","62701.72"
"24","eui-70b3d57ed0044770","2022-03-31T06:19:48.566450253Z","3.8025","310322","0.9",47.7724609,9.0448579,"9","61945.97"
"25","eui-70b3d57ed0044a43","2022-03-31T05:57:51.330322692Z","3.9784","310322","0.8",47.6701469,8.9457483,"9","55748.92"
"26","eui-70b3d57ed0044a49","2022-03-31T05:48:48.256890657Z","4.0224","310322","1.1",47.7684402,8.9997386,"5","54845.65"
"27","eui-70b3d57ed0044770","2022-03-31T04:19:42.982633114Z","3.8025","310322","1.2",47.7733955,9.0459699,"6","41941"
"28","eui-70b3d57ed0044a49","2022-03-31T03:48:37.332125645Z","4.0273","310322","1.1",47.7684402,8.9997386,"6","34835"
"29","eui-70b3d57ed0044a4e","2022-03-31T02:49:25.461685985Z","3.8709","310322","1.2",47.7680778,8.9964647,"5","24923"
"30","eui-70b3d57ed0044a36","2022-03-31T02:26:22.804203444Z","3.91","310322","1.4",47.767704,8.9960966,"5","22620.01"
"31","eui-70b3d57ed0044770","2022-03-31T02:19:27.187069526Z","3.7976","310322","1.1",47.7734985,9.0458679,"7","21925"
"32","eui-70b3d57ed0044a49","2022-03-31T01:48:01.204867164Z","4.0566","310322","0.9",47.7686882,8.9995336,"5","14758.73"
"33","eui-70b3d57ed0044770","2022-03-31T00:19:06.376235897Z","3.7927","310322","1.4",47.7739028,9.0458469,"6","1904"
"34","eui-70b3d57ed0044a49","2022-03-30T23:47:55.885227929Z","4.0273","300322","0.9",47.7686882,8.9995336,"7","234754"
"35","eui-70b3d57ed0044a4e","2022-03-30T22:49:04.864394463Z","3.8709","300322","1.2",47.7680778,8.9964647,"8","224903"
"36","eui-70b3d57ed0044a36","2022-03-30T22:25:36.309009256Z","3.9247","300322","1.2",47.7680816,8.9963302,"7","222533.91"
"37","eui-70b3d57ed0044770","2022-03-30T22:18:40.196955019Z","3.8025","300322","1.9",47.7733039,9.0460033,"6","221837.23"
"38","eui-70b3d57ed0044a49","2022-03-30T21:47:08.757636858Z","4.0469","300322","1.1",47.7684288,8.999773,"5","214706.98"
"39","eui-70b3d57ed0044770","2022-03-30T20:18:18.994834190Z","3.8025","300322","1",47.7733764,9.0459337,"8","201816.23"
