"","id","message_time","volts","d/m/y","hdop","latitude","longitude","siv","h/m/s/cs"
"1","eui-70b3d57ed0044a4a","2022-10-26T20:51:37.442513872Z","3.8563","261022","0.8",47.7680931,8.9964704,"9","205135"
"2","eui-70b3d57ed0044a4e","2022-10-26T20:25:07.537949631Z","3.5777","999","23.1",9.99e-05,9.99e-05,"231","9.99"
"3","eui-70b3d57ed0044a42","2022-10-26T20:15:51.936427721Z","4.1055","261022","1.3",47.7680587,8.9967536,"5","201550"
"4","eui-70b3d57ed0044a42","2022-10-26T18:15:30.732402119Z","4.1006","261022","0.9",47.7681579,8.9964313,"7","181528"
"5","eui-70b3d57ed0044a4a","2022-10-26T16:51:06.383221052Z","3.9296","261022","1",47.7681045,8.9964332,"8","165104"
"6","eui-70b3d57ed0044a42","2022-10-26T16:14:48.728978359Z","4.1348","261022","1",47.7683181,8.9959363,"7","161446.16"
"7","eui-70b3d57ed0044a4a","2022-10-26T14:50:35.357465923Z","4.042","261022","1.7",47.7682647,8.9962835,"5","145033.01"
"8","eui-70b3d57ed0044a42","2022-10-26T14:14:33.164865673Z","4.1495","261022","1.6",47.7680473,8.9963636,"5","141431.08"
"9","eui-70b3d57ed0044a4a","2022-10-26T12:50:29.761973290Z","4.0273","261022","0.8",47.7681503,8.9964733,"10","125028"
"10","eui-70b3d57ed0044a42","2022-10-26T12:14:06.623215930Z","4.1593","261022","1",47.7681808,8.9964752,"8","121404"
"11","eui-70b3d57ed0044a35","2022-10-26T11:03:47.537738613Z","3.4115","999","23.1",9.99e-05,9.99e-05,"231","9.99"
"12","eui-70b3d57ed0044a42","2022-10-26T10:13:30.460804098Z","4.1886","261022","1",47.7681503,8.9964151,"5","101328.07"
"13","eui-70b3d57ed0044a4a","2022-10-26T08:49:47.534369140Z","3.9051","261022","1",47.7681388,8.9964513,"5","84944.87"
"14","eui-70b3d57ed0044a42","2022-10-26T08:13:24.911453582Z","4.1153","261022","1",47.7681503,8.9964151,"8","81323"
"15","eui-70b3d57ed0044a42","2022-10-26T06:12:42.916784087Z","4.0909","261022","1.2",47.7681465,8.9964685,"5","61241.14"
"16","eui-70b3d57ed0044a4a","2022-10-26T04:49:37.279758872Z","3.8318","261022","1",47.7681388,8.9964513,"8","44935"
"17","eui-70b3d57ed0044a42","2022-10-26T04:12:27.505370158Z","4.1202","261022","1.2",47.7681465,8.9964685,"5","41224.95"
"18","eui-70b3d57ed0044a42","2022-10-26T02:12:21.702796591Z","4.1006","261022","1.2",47.7681465,8.9964685,"6","21219.13"
"19","eui-70b3d57ed0044a4a","2022-10-26T00:49:06.205559248Z","3.8269","261022","0.9",47.7681236,8.996582,"9","4904"
"20","eui-70b3d57ed0044a42","2022-10-26T00:11:45.494791394Z","4.1348","261022","1",47.7680702,8.9965095,"5","1143.13"
"21","eui-70b3d57ed0044a42","2022-10-25T22:11:40.496414210Z","4.1397","251022","1",47.7680702,8.9965095,"9","221138.12"
"22","eui-70b3d57ed0044a4b","2022-10-25T21:30:23.308855453Z","3.5337","999","23.1",9.99e-05,9.99e-05,"231","9.99"
