#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321ABEB31
#Date Time: 2019-09-08 21:47:03.736

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,2.248028603976424,2.455811879193547,0.09357134632898609,3.639907713326466,4.369907779833285,0.0007623980331470727
1,2.24784883911082,2.455631657120655,0.09355592043148009,3.640113993509781,4.37011404192595,0.0006505090104050946
2,2.247924340354368,2.455707107563359,0.09355602574776607,3.640041188739177,4.370041216189255,0.000489805450054276
3,2.248325665416834,2.456109518495998,0.09359217340677503,3.640056019340596,4.370056054904008,0.0005575138580383244
4,2.248333305423636,2.456115842341521,0.09355777300415143,3.639949059245543,4.369949102583102,0.0006154341473540603
5,2.248560258566446,2.456342111451349,0.09354413693868618,3.639445717621871,4.369445927783347,0.001355201765825727
6,2.248318474822214,2.456101306735146,0.09356523442287409,3.639854682691132,4.369854763543616,0.0008406074028319959
7,2.248425884329412,2.456209225877009,0.09358065835016413,3.640121633516547,4.370121679336976,0.0006328310542087178
8,2.248423187856428,2.456206174381721,0.0935712882444398,3.640055120516272,4.37005516706245,0.0006378183083490019
9,2.247629076562624,2.45541296656363,0.09357986436973346,3.640095567611043,4.370095606264359,0.0005812322418769948
10,2.247949956847711,2.455732891755614,0.09356091565178833,3.640138261766605,4.370138312358576,0.0006649670708787922
11,2.248197582950098,2.455981048448802,0.09357956070502549,3.640282073659232,4.370282173948346,0.0009362573530573254
12,2.248612390377492,2.456394614618169,0.09355488084885143,3.640163878259991,4.370163935209038,0.0007055118295359371
13,2.248776425817351,2.456558770791785,0.09356117573873088,3.640271287767215,4.370271381067117,0.0009030423879292319
14,2.248535091485275,2.456317669718498,0.09356270217811199,3.6404007184706,4.370400862081852,0.001120389392162272
15,2.248010178077707,2.455794582180924,0.093600618376132,3.640070400529839,4.370070434126149,0.0005418762824027151
16,2.248631715100535,2.456414002186488,0.09355689905405858,3.640279826598277,4.370279925685996,0.0009306317885611947
17,2.24831892423439,2.456101703850877,0.09356387018676822,3.640567899795589,4.370568090411747,0.001290812426367175
18,2.248075792253653,2.455859511626788,0.09358390204815328,3.640629019849968,4.37062922840627,0.001350199817614048
19,2.24813646289579,2.455919229315073,0.09356004705556983,3.641048321398917,4.371048629595255,0.001641425250721153
20,2.248575538580034,2.456358342039422,0.09356938554550666,3.641011469601473,4.371011770620292,0.001622192410047128
21,2.248625872742409,2.456409649283716,0.09359588643700195,3.641326956941009,4.371327309347223,0.001755267219755571
22,2.248422289032106,2.456205792439329,0.09358483806196256,3.641165617973885,4.371165946946524,0.001695872566295463
23,2.248409256079345,2.456192662544072,0.09358204532665614,3.641455039407702,4.371455406176108,0.001790703901444465
24,2.249028096629204,2.456811486522336,0.09359340291652195,3.642085115261598,4.372085498039297,0.001829499845352717
25,2.248591268005781,2.456375201301041,0.09359934079197982,3.641244265102704,4.371244606242472,0.001726964818624097
26,2.248678004553429,2.456461608799617,0.09359235795818829,3.641353022846234,4.371353378479732,0.001763290832536501
27,2.248248815936797,2.456033035894804,0.0936003358950398,3.641821310321603,4.371821697825951,0.001840705982054664
28,2.248563853863767,2.456347033313069,0.09357903275590966,3.641977705754732,4.371978092223664,0.001838278143780945
29,2.2485696962219,2.456352585298668,0.09357152180410079,3.642537223898972,4.37253756221336,0.001720053358747129
30,2.248692835154842,2.456476945813828,0.09360593119292933,3.642037477572363,4.372037862691164,0.001835076550848244
31,2.248519811471696,2.456303204349762,0.09358379556328933,3.642321506060464,4.372321871798279,0.001788364487658846
32,2.248566550336755,2.45634929182932,0.0935675875423726,3.640963382499887,4.370963673685547,0.001595468060236822
33,2.248274432430146,2.456058496003168,0.09359672061138655,3.641959279855899,4.371959666693045,0.001839149589460338
34,2.248063208713054,2.455849325038292,0.09364654255327468,3.641814569139165,4.371814956167576,0.001839573876354481
35,2.24798456158435,2.455769427909152,0.09361225645739245,3.641295048677267,4.371295396921516,0.00174486499469186
36,2.248304093632961,2.456088896752083,0.09361669042156953,3.641010570777425,4.371010871617069,0.001621710005406412
37,2.248696879864317,2.456479870009594,0.09357659828672407,3.640523857403451,4.370524034183482,0.001243075589202842
38,2.248309037166775,2.456093684054304,0.09361268574886962,3.641118879108765,4.371119200180119,0.001675373768280872
39,2.248052422821116,2.455838148712133,0.09363609729048609,3.640880690661782,4.370880963700402,0.00154493803293879
40,2.248026806327776,2.45581311615755,0.09365092266682762,3.642327797830478,4.372328162930381,0.001786804834686053
41,2.248346787788544,2.456131291655009,0.0936096529162562,3.641772773807782,4.371773160000062,0.001837576600969818
42,2.24828656655857,2.456071909551417,0.09363051905146307,3.641338192244898,4.371338546061384,0.0017587775326854
43,2.248604300958534,2.456387935508693,0.09359174872134,3.642189828296141,4.372190204934668,0.001814791759008653
44,2.248701823398128,2.456487524495655,0.09364783077523292,3.642235218924686,4.372235592879985,0.001808325039560789
45,2.248883835324553,2.456667616769225,0.09360093132547061,3.642645981642695,4.372646302665924,0.001675542051783388
46,2.249084722561876,2.456868382601014,0.09360157299975203,3.64269946169025,4.372699772654514,0.001649092568585036
47,2.249184042650116,2.456966539970955,0.09357294081771782,3.642593400419514,4.372593730701462,0.001699522556965209
48,2.248611940965326,2.456395989033304,0.09360274680565468,3.642755188798501,4.372755491250202,0.001626374376420791
49,2.249117529649844,2.456900593272038,0.09358654191039513,3.64308910203681,4.373089328791001,0.001408273800925289
50,2.249485598212177,2.457268581691514,0.09359145014925253,3.643143480908519,4.373143687765999,0.001345078519416516
