field_1,id,message_ti,volts,d/m/y,hdop,latitude,longitude,siv,h/m/s/cs
"3",eui-70b3d57ed004476c,2021/09/12 17:10:41.111,4.007800000000000,"120921",1.400000000000000,47.764621699999999,8.996000199999999,"7",171038.569999999977881
"7",eui-70b3d57ed004476f,2021/09/12 16:58:37.278,3.812300000000000,"120921",1.500000000000000,47.764339399999997,8.995336500000002,"6",165835.000000000000000
"11",eui-70b3d57ed0044a2d,2021/09/12 16:41:17.656,3.968700000000000,"120921",1.300000000000000,47.764026600000001,8.996049800000000,"5",164115.869999999995343
"14",eui-70b3d57ed0044a2e,2021/09/12 16:37:59.301,4.149500000000000,"120921",1.400000000000000,47.764232600000000,8.996403600000002,"5",163757.489999999990687
"15",eui-70b3d57ed004476e,2021/09/12 16:35:27.163,4.134800000000001,"120921",0.900000000000000,47.764217299999999,8.995381300000000,"9",163525.000000000000000
"21",eui-70b3d57ed0044a2c,2021/09/12 16:19:54.161,4.081100000000000,"120921",2.400000000000000,47.764030400000003,8.994939799999999,"7",161951.549999999988358
"24",eui-70b3d57ed004476d,2021/09/12 16:09:17.538,4.095700000000000,"120921",1.200000000000000,47.764373700000000,8.995486200000000,"6",160915.640000000013970
"25",eui-70b3d57ed0044a2b,2021/09/12 16:08:09.904,4.042000000000000,"120921",1.200000000000000,47.764060899999997,8.995171500000000,"6",160807.289999999979045
"43",eui-70b3d57ed004476c,2021/09/12 15:10:14.105,4.017500000000000,"120921",1.400000000000000,47.764621699999999,8.996000199999999,"8",151011.459999999991851
"47",eui-70b3d57ed004476f,2021/09/12 14:57:55.609,3.807400000000000,"120921",1.100000000000000,47.764312699999998,8.995586299999999,"7",145753.000000000000000
"51",eui-70b3d57ed0044a2d,2021/09/12 14:41:01.686,3.973600000000000,"120921",1.300000000000000,47.764026600000001,8.996049800000000,"5",144059.899999999994179
"54",eui-70b3d57ed0044a2e,2021/09/12 14:37:38.773,4.169100000000001,"120921",1.400000000000000,47.764232600000000,8.996403600000002,"5",143736.600000000005821
"60",eui-70b3d57ed0044a2c,2021/09/12 14:19:44.065,4.090900000000001,"120921",2.400000000000000,47.764030400000003,8.994939799999999,"7",141941.660000000003492
"64",eui-70b3d57ed004476d,2021/09/12 14:09:06.482,4.071300000000000,"120921",1.200000000000000,47.764373700000000,8.995486200000000,"6",140904.670000000012806
"65",eui-70b3d57ed0044a2b,2021/09/12 14:08:04.493,4.032200000000000,"120921",1.200000000000000,47.764060899999997,8.995171500000000,"7",140802.290000000008149
